Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2023 06 29 05	35.132
2023 06 29 06	35.132
2023 06 29 07	35.132
2023 06 29 08	35.132
2023 06 29 09	35.132
2023 06 29 10	35.132
2023 06 29 11	35.132
2023 06 29 12	35.132
2023 06 29 13	35.132
2023 06 29 14	35.132
2023 06 29 15	35.132
2023 06 29 16	35.132
2023 06 29 17	35.132
2023 06 29 18	35.132
2023 06 29 19	35.132
2023 06 29 20	35.132
2023 06 29 21	35.132
2023 06 29 22	35.132
2023 06 29 23	35.132
2023 06 30 00	35.165
2023 06 30 01	35.165
2023 06 30 02	35.165
2023 06 30 03	35.165
2023 06 30 04	35.165
2023 06 30 05	35.165
2023 06 30 06	35.165
2023 06 30 07	35.165
2023 06 30 08	35.165
2023 06 30 09	35.165
2023 06 30 10	35.165
2023 06 30 11	35.165
2023 06 30 12	35.165
2023 06 30 13	35.165
2023 06 30 14	35.165
2023 06 30 15	35.165
2023 06 30 16	35.165
2023 06 30 17	35.165
2023 06 30 18	35.165
2023 06 30 19	35.165
2023 06 30 20	35.165
2023 06 30 21	35.165
2023 06 30 22	35.165
2023 06 30 23	35.165
2023 07 01 00	35.181
2023 07 01 01	35.181
2023 07 01 02	35.181
2023 07 01 03	35.181
2023 07 01 04	35.181
2023 07 01 05	35.181
2023 07 01 06	35.181
2023 07 01 07	35.181
2023 07 01 08	35.181
2023 07 01 09	35.181
2023 07 01 10	35.181
2023 07 01 11	35.181
2023 07 01 12	35.181
2023 07 01 13	35.181
2023 07 01 14	35.181
2023 07 01 15	35.181
2023 07 01 16	35.181
2023 07 01 17	35.181
2023 07 01 18	35.181
2023 07 01 19	35.181
2023 07 01 20	35.181
2023 07 01 21	35.181
2023 07 01 22	35.181
2023 07 01 23	35.181
2023 07 02 00	35.099
2023 07 02 01	35.099
2023 07 02 02	35.099
2023 07 02 03	35.099
2023 07 02 04	35.099
2023 07 02 05	35.099
2023 07 02 06	35.099
2023 07 02 07	35.099
2023 07 02 08	35.099
2023 07 02 09	35.099
2023 07 02 10	35.099
2023 07 02 11	35.099
2023 07 02 12	35.099
2023 07 02 13	35.099
2023 07 02 14	35.099
2023 07 02 15	35.099
2023 07 02 16	35.099
2023 07 02 17	35.099
2023 07 02 18	35.099
2023 07 02 19	35.099
2023 07 02 20	35.099
2023 07 02 21	35.099
2023 07 02 22	35.099
2023 07 02 23	35.099
2023 07 03 00	35.104
2023 07 03 01	35.104
2023 07 03 02	35.104
2023 07 03 03	35.104
2023 07 03 04	35.104
2023 07 03 05	35.104
2023 07 03 06	35.104
2023 07 03 07	35.104
2023 07 03 08	35.104
2023 07 03 09	35.104
2023 07 03 10	35.104
2023 07 03 11	35.104
2023 07 03 12	35.104
2023 07 03 13	35.104
2023 07 03 14	35.104
2023 07 03 15	35.104
2023 07 03 16	35.104
2023 07 03 17	35.104
2023 07 03 18	35.104
2023 07 03 19	35.104
2023 07 03 20	35.104
2023 07 03 21	35.104
2023 07 03 22	35.104
2023 07 03 23	35.104
2023 07 04 00	35.159
2023 07 04 01	35.159
2023 07 04 02	35.159
2023 07 04 03	35.159
2023 07 04 04	35.159
2023 07 04 05	35.159
2023 07 04 06	35.159
2023 07 04 07	35.159
2023 07 04 08	35.159
2023 07 04 09	35.159
2023 07 04 10	35.159
2023 07 04 11	35.159
2023 07 04 12	35.159
2023 07 04 13	35.159
2023 07 04 14	35.159
2023 07 04 15	35.159
2023 07 04 16	35.159
2023 07 04 17	35.159
2023 07 04 18	35.159
2023 07 04 19	35.159
2023 07 04 20	35.159
2023 07 04 21	35.159
2023 07 04 22	35.159
2023 07 04 23	35.159
2023 07 05 00	35.233
2023 07 05 01	35.233
2023 07 05 02	35.233
2023 07 05 03	35.233
2023 07 05 04	35.233
2023 07 05 05	35.233
2023 07 05 06	35.233
2023 07 05 07	35.233
2023 07 05 08	35.233
2023 07 05 09	35.233
2023 07 05 10	35.233
2023 07 05 11	35.233
2023 07 05 12	35.233
2023 07 05 13	35.233
2023 07 05 14	35.233
2023 07 05 15	35.233
2023 07 05 16	35.233
2023 07 05 17	35.233
2023 07 05 18	35.233
2023 07 05 19	35.233
2023 07 05 20	35.233
2023 07 05 21	35.233
2023 07 05 22	35.233
2023 07 05 23	35.233
2023 07 06 00	35.22
2023 07 06 01	35.22
2023 07 06 02	35.22
2023 07 06 03	35.22
2023 07 06 04	35.22
2023 07 06 05	35.22
2023 07 06 06	35.22
2023 07 06 07	35.22
2023 07 06 08	35.22
2023 07 06 09	35.22
2023 07 06 10	35.22
2023 07 06 11	35.22
2023 07 06 12	35.22
2023 07 06 13	35.22
2023 07 06 14	35.22
2023 07 06 15	35.22
2023 07 06 16	35.22
2023 07 06 17	35.22
2023 07 06 18	35.22
2023 07 06 19	35.22
2023 07 06 20	35.22
2023 07 06 21	35.22
2023 07 06 22	35.22
2023 07 06 23	35.22
2023 07 07 00	35.156
2023 07 07 01	35.156
2023 07 07 02	35.156
2023 07 07 03	35.156
2023 07 07 04	35.156
2023 07 07 05	35.156
2023 07 07 06	35.156
2023 07 07 07	35.156
2023 07 07 08	35.156
