Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 06 21 14	0.46	4.71	8.27	300	0.02	60	0.36	4.16	297	0.36	10.45	303
2023 06 21 15	0.45	4.7	7.52	300	0.0	180	0.36	4.17	297	0.36	10.42	303
2023 06 21 16	0.45	4.43	7.52	302	0.04	45	0.35	4.18	297	0.35	10.34	304
2023 06 21 17	0.46	3.96	7.52	308	0.06	45	0.32	4.06	298	0.32	8.51	301
2023 06 21 18	0.48	3.75	7.52	315	0.0	180	0.42	4.99	300	0.23	2.4	37
2023 06 21 19	0.49	3.75	7.52	319	0.0	180	0.33	4.37	298	0.33	10.27	304
2023 06 21 20	0.49	3.76	7.52	320	0.0	180	0.33	4.39	298	0.33	10.39	304
2023 06 21 21	0.48	3.83	6.83	320	0.0	180	0.31	5.21	308	0.25	4.68	288
2023 06 21 22	0.47	3.89	6.83	319	0.0	180	0.4	4.98	300	0.07	10.47	296
2023 06 21 23	0.47	3.95	6.83	318	0.0	180	0.39	4.98	301	0.09	10.22	294
2023 06 22 00	0.46	3.99	6.83	317	0.0	180	0.39	4.97	301	0.09	10.18	294
2023 06 22 01	0.45	4.03	6.83	317	0.0	180	0.38	4.95	301	0.1	10.0	294
2023 06 22 02	0.45	4.06	6.83	316	0.0	180	0.38	4.94	301	0.11	9.97	294
2023 06 22 03	0.44	4.08	6.83	315	0.0	180	0.37	4.93	301	0.11	9.94	294
2023 06 22 04	0.44	4.11	6.83	315	0.0	180	0.37	4.86	302	0.12	9.66	292
2023 06 22 05	0.43	4.14	6.83	314	0.0	180	0.3	5.18	308	0.21	4.29	288
2023 06 22 06	0.43	4.17	6.83	314	0.0	180	0.32	4.46	299	0.17	7.43	310
2023 06 22 07	0.43	4.16	6.21	314	0.0	180	0.32	4.44	300	0.16	7.33	312
2023 06 22 08	0.44	4.12	6.21	316	0.0	180	0.31	4.47	300	0.16	7.35	312
2023 06 22 09	0.44	4.1	6.21	317	0.0	180	0.35	4.7	303	0.14	9.59	297
2023 06 22 10	0.45	4.13	6.21	320	0.0	180	0.34	4.65	303	0.14	9.56	297
2023 06 22 11	0.46	4.19	6.21	322	0.0	180	0.15	9.53	297	0.1	8.34	284
2023 06 22 12	0.47	4.25	6.21	324	0.0	180	0.34	4.49	304	0.34	16.55	293
2023 06 22 13	0.47	4.29	6.21	326	0.05	43	0.34	4.51	304	0.34	15.98	293
2023 06 22 14	0.48	4.34	6.21	327	0.04	39	0.31	4.27	304	0.31	12.25	293
2023 06 22 15	0.48	4.36	6.21	330	0.05	46	0.3	4.22	303	0.3	11.54	293
2023 06 22 16	0.5	4.41	6.21	334	0.05	55	0.3	4.23	303	0.3	11.21	293
2023 06 22 17	0.52	4.51	6.21	341	0.04	60	0.32	4.25	62	0.32	11.66	294
2023 06 22 18	0.55	4.63	6.21	350	0.04	65	0.36	4.42	59	0.36	12.88	294
2023 06 22 19	0.58	4.67	6.21	359	0.05	67	0.4	4.59	57	0.24	8.6	294
2023 06 22 20	0.62	4.45	6.21	5	0.08	70	0.44	4.73	54	0.24	8.51	292
2023 06 22 21	0.65	4.27	6.21	9	0.06	83	0.46	4.93	52	0.24	8.49	292
2023 06 22 22	0.67	4.4	5.65	8	0.0	180	0.47	4.94	49	0.24	8.46	292
2023 06 22 23	0.67	4.55	5.65	4	0.0	180	0.5	4.02	47	0.25	8.44	292
2023 06 23 00	0.66	4.63	5.65	0	0.0	180	0.48	4.06	45	0.25	8.26	291
2023 06 23 01	0.66	4.68	5.65	356	0.0	180	0.47	4.05	42	0.21	8.81	296
2023 06 23 02	0.65	4.68	5.65	352	0.0	180	0.45	3.97	41	0.21	8.78	296
2023 06 23 03	0.65	4.67	8.27	348	0.0	180	0.43	3.83	39	0.35	5.12	310
2023 06 23 04	0.64	4.69	8.27	344	0.0	180	0.41	3.75	38	0.34	5.08	310
2023 06 23 05	0.63	4.71	8.27	341	0.0	180	0.34	5.5	311	0.34	13.22	331
2023 06 23 06	0.63	4.69	8.27	338	0.0	180	0.23	6.06	323	0.23	8.59	331
2023 06 23 07	0.63	4.49	8.27	337	0.1	66	0.25	8.28	331	0.23	6.05	323
2023 06 23 08	0.65	4.03	8.27	338	0.22	57	0.36	5.77	314	0.36	11.24	332
2023 06 23 09	0.68	3.68	8.27	346	0.32	53	0.36	5.8	315	0.36	10.79	332
2023 06 23 10	0.76	3.42	8.27	0	0.46	52	0.34	5.79	316	0.34	9.65	332
2023 06 23 11	0.83	3.36	7.52	12	0.57	54	0.44	6.57	324	0.25	7.38	291
2023 06 23 12	0.87	3.37	7.52	21	0.64	55	0.43	6.66	324	0.29	4.52	23
2023 06 23 13	0.91	3.41	4.24	26	0.71	56	0.43	6.72	325	0.25	4.5	19
2023 06 23 14	0.91	3.43	4.24	29	0.7	57	0.43	6.76	326	0.3	4.61	25
2023 06 23 15	0.9	3.43	4.24	30	0.7	59	0.42	6.77	326	0.3	4.55	26
2023 06 23 16	0.89	3.42	4.24	32	0.7	60	0.42	6.76	327	0.28	4.49	27
2023 06 23 17	0.89	3.44	4.24	34	0.71	61	0.42	6.76	327	0.28	4.61	28
2023 06 23 18	0.9	3.48	4.24	36	0.69	62	0.41	6.75	328	0.29	4.43	27
2023 06 23 19	0.88	3.53	4.24	36	0.62	65	0.4	6.79	329	0.39	3.9	32
2023 06 23 20	0.86	3.59	4.24	35	0.47	69	0.56	4.05	47	0.56	9.79	329
2023 06 23 21	0.84	3.65	4.67	34	0.37	73	0.46	4.65	59	0.46	8.31	330
2023 06 23 22	0.82	3.7	4.67	34	0.31	74	0.47	4.52	61	0.47	8.82	330
2023 06 23 23	0.81	3.76	4.67	33	0.26	76	0.6	3.77	54	0.6	12.12	331
2023 06 24 00	0.82	3.75	4.67	35	0.3	75	0.63	4.0	53	0.63	13.37	332
2023 06 24 01	0.83	3.77	4.67	36	0.3	74	0.64	4.05	54	0.3	6.8	332
2023 06 24 02	0.83	3.83	4.67	37	0.25	79	0.67	3.97	55	0.27	6.79	332
2023 06 24 03	0.83	3.87	4.67	38	0.22	81	0.69	3.99	55	0.31	7.76	293
2023 06 24 04	0.81	3.9	4.67	39	0.18	85	0.69	3.92	55	0.3	7.82	293
2023 06 24 05	0.8	3.92	4.67	39	0.18	83	0.66	3.94	56	0.25	7.43	289
2023 06 24 06	0.79	3.92	5.13	41	0.2	79	0.62	3.91	56	0.26	6.07	44
2023 06 24 07	0.8	3.92	5.13	44	0.2	78	0.63	3.97	56	0.29	6.09	44
2023 06 24 08	0.81	3.84	5.13	46	0.32	68	0.59	4.29	55	0.31	6.12	45
2023 06 24 09	0.83	3.69	5.13	49	0.49	63	0.51	4.56	54	0.33	6.15	45
2023 06 24 10	0.9	3.59	5.13	51	0.6	63	0.5	4.46	51	0.33	6.16	45
2023 06 24 11	0.95	3.64	5.13	52	0.55	65	0.63	4.4	53	0.35	6.15	45
2023 06 24 12	0.99	3.65	5.13	52	0.7	62	0.65	4.97	49	0.2	8.49	292
2023 06 24 13	1.02	3.69	5.13	53	0.66	66	0.74	4.74	49	0.2	8.59	293
2023 06 24 14	1.0	3.75	5.13	53	0.48	68	0.84	4.61	53	0.2	8.67	293
2023 06 24 15	0.95	3.77	5.13	53	0.42	69	0.82	4.52	54	0.2	8.75	293
2023 06 24 16	0.95	3.81	5.13	53	0.37	69	0.84	4.54	55	0.21	8.81	293
2023 06 24 17	0.93	3.93	5.13	53	0.19	77	0.88	4.21	56	0.22	8.87	293
2023 06 24 18	0.89	4.06	5.65	52	0.0	180	0.7	4.21	50	0.49	3.48	72
2023 06 24 19	0.84	4.1	5.65	51	0.0	180	0.8	3.91	58	0.25	8.88	293
2023 06 24 20	0.77	4.21	5.65	49	0.0	180	0.71	3.96	58	0.27	8.86	293
2023 06 24 21	0.71	4.27	5.13	45	0.04	263	0.63	3.99	58	0.28	8.82	293
2023 06 24 22	0.67	4.07	5.13	39	0.09	272	0.57	4.0	58	0.3	8.78	293
2023 06 24 23	0.68	3.35	5.13	20	0.25	276	0.52	4.1	58	0.31	8.73	293
2023 06 25 00	0.69	3.54	9.1	354	0.27	273	0.48	4.22	57	0.48	12.44	293
2023 06 25 01	0.7	3.42	9.1	335	0.37	282	0.3	8.97	296	0.17	7.44	284
2023 06 25 02	0.73	3.37	9.1	321	0.43	287	0.3	9.08	297	0.2	6.85	285
2023 06 25 03	0.83	3.5	4.67	309	0.51	290	0.36	8.43	293	0.36	4.49	55
2023 06 25 04	0.99	3.76	5.13	302	0.63	291	0.57	5.16	301	0.35	8.8	294
2023 06 25 05	1.04	3.92	5.13	300	0.49	289	0.79	4.75	298	0.35	8.93	294
2023 06 25 06	0.99	4.02	5.13	300	0.28	278	0.83	4.33	297	0.36	8.92	294
2023 06 25 07	0.91	4.0	5.13	300	0.26	280	0.74	4.27	298	0.38	8.75	294
2023 06 25 08	0.85	3.99	5.13	301	0.15	279	0.69	3.96	298	0.69	15.62	294
2023 06 25 09	0.79	4.08	9.1	303	0.05	265	0.64	3.62	300	0.64	13.73	293
2023 06 25 10	0.74	4.17	9.1	305	0.06	283	0.58	3.65	303	0.58	12.22	293
2023 06 25 11	0.71	4.19	9.1	307	0.08	288	0.53	3.7	307	0.53	11.09	293
2023 06 25 12	0.69	4.23	9.1	308	0.0	180	0.51	3.45	310	0.51	10.43	293
2023 06 25 13	0.68	4.29	9.1	309	0.0	180	0.35	8.8	297	0.21	7.37	284
2023 06 25 14	0.67	4.37	9.1	309	0.0	180	0.33	8.0	290	0.23	9.69	302
2023 06 25 15	0.66	4.46	9.1	309	0.0	180	0.33	7.97	290	0.23	9.76	302
2023 06 25 16	0.66	4.54	8.27	309	0.0	180	0.48	3.7	313	0.48	9.88	294
2023 06 25 17	0.65	4.62	8.27	308	0.0	180	0.41	8.46	295	0.41	3.93	320
2023 06 25 18	0.65	4.69	8.27	308	0.0	180	0.43	3.58	311	0.43	8.7	295
2023 06 25 19	0.65	4.78	8.27	308	0.0	180	0.33	7.89	290	0.19	9.51	298
2023 06 25 20	0.66	4.91	9.1	308	0.0	180	0.33	8.69	296	0.2	7.44	284
2023 06 25 21	0.68	5.12	10.01	307	0.0	180	0.37	8.72	297	0.27	10.92	313
2023 06 25 22	0.74	5.46	10.01	306	0.0	180	0.47	9.57	308	0.35	7.86	290
2023 06 25 23	0.82	5.86	10.01	306	0.0	180	0.67	6.06	312	0.46	5.69	289
2023 06 26 00	0.92	6.24	10.01	305	0.0	180	0.91	6.3	304	0.08	3.85	34
2023 06 26 01	1.0	6.51	10.01	304	0.0	180	0.99	6.57	304	0.07	3.87	32
2023 06 26 02	1.05	6.68	10.01	304	0.0	180	1.05	6.73	303	0.08	3.76	41
