Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2023 06 28 09	17.216
2023 06 28 10	17.388
2023 06 28 11	17.556
2023 06 28 12	17.711
2023 06 28 13	17.842
2023 06 28 14	17.945
2023 06 28 15	18.03
2023 06 28 16	18.104
2023 06 28 17	18.173
2023 06 28 18	18.228
2023 06 28 19	18.247
2023 06 28 20	18.215
2023 06 28 21	18.155
2023 06 28 22	18.098
2023 06 28 23	18.053
2023 06 29 00	18.009
2023 06 29 01	17.952
2023 06 29 02	17.885
2023 06 29 03	17.818
2023 06 29 04	17.762
2023 06 29 05	17.717
2023 06 29 06	17.703
2023 06 29 07	17.743
2023 06 29 08	17.834
2023 06 29 09	17.966
2023 06 29 10	18.07
2023 06 29 11	18.097
2023 06 29 12	18.086
2023 06 29 13	18.037
2023 06 29 14	18.02
2023 06 29 15	18.052
2023 06 29 16	18.122
2023 06 29 17	18.212
2023 06 29 18	18.293
2023 06 29 19	18.342
2023 06 29 20	18.344
2023 06 29 21	18.304
2023 06 29 22	18.24
2023 06 29 23	18.156
2023 06 30 00	18.058
2023 06 30 01	17.951
2023 06 30 02	17.844
2023 06 30 03	17.76
2023 06 30 04	17.713
2023 06 30 05	17.693
2023 06 30 06	17.701
2023 06 30 07	17.735
2023 06 30 08	17.787
2023 06 30 09	17.859
2023 06 30 10	17.925
2023 06 30 11	17.968
2023 06 30 12	18.04
2023 06 30 13	18.159
2023 06 30 14	18.295
2023 06 30 15	18.442
2023 06 30 16	18.605
2023 06 30 17	18.754
2023 06 30 18	18.85
2023 06 30 19	18.886
2023 06 30 20	18.871
2023 06 30 21	18.816
2023 06 30 22	18.738
2023 06 30 23	18.648
2023 07 01 00	18.558
2023 07 01 01	18.488
2023 07 01 02	18.447
2023 07 01 03	18.435
2023 07 01 04	18.448
2023 07 01 05	18.473
2023 07 01 06	18.497
2023 07 01 07	18.516
2023 07 01 08	18.54
2023 07 01 09	18.587
2023 07 01 10	18.672
2023 07 01 11	18.777
2023 07 01 12	18.895
2023 07 01 13	19.036
2023 07 01 14	19.22
2023 07 01 15	19.448
2023 07 01 16	19.662
2023 07 01 17	19.803
2023 07 01 18	19.849
2023 07 01 19	19.812
2023 07 01 20	19.712
2023 07 01 21	19.58
2023 07 01 22	19.449
2023 07 01 23	19.335
2023 07 02 00	19.249
2023 07 02 01	19.193
2023 07 02 02	19.164
2023 07 02 03	19.154
2023 07 02 04	19.152
2023 07 02 05	19.143
2023 07 02 06	19.133
2023 07 02 07	19.127
2023 07 02 08	19.142
2023 07 02 09	19.178
2023 07 02 10	19.228
2023 07 02 11	19.305
2023 07 02 12	19.419
2023 07 02 13	19.543
2023 07 02 14	19.662
2023 07 02 15	19.757
2023 07 02 16	19.808
2023 07 02 17	19.822
2023 07 02 18	19.786
2023 07 02 19	19.702
2023 07 02 20	19.59
2023 07 02 21	19.476
2023 07 02 22	19.382
2023 07 02 23	19.303
2023 07 03 00	19.23
2023 07 03 01	19.163
2023 07 03 02	19.108
2023 07 03 03	19.062
2023 07 03 04	19.022
2023 07 03 05	18.986
2023 07 03 06	18.953
2023 07 03 07	18.933
2023 07 03 08	18.945
2023 07 03 09	18.997
2023 07 03 10	19.087
2023 07 03 11	19.195
2023 07 03 12	19.303
2023 07 03 13	19.396
2023 07 03 14	19.472
2023 07 03 15	19.527
2023 07 03 16	19.558
2023 07 03 17	19.565
2023 07 03 18	19.542
2023 07 03 19	19.484
2023 07 03 20	19.395
2023 07 03 21	19.307
2023 07 03 22	19.242
2023 07 03 23	19.201
2023 07 04 00	19.176
2023 07 04 01	19.154
2023 07 04 02	19.125
2023 07 04 03	19.086
2023 07 04 04	19.037
2023 07 04 05	18.985
2023 07 04 06	18.937
2023 07 04 07	18.918
2023 07 04 08	18.944
2023 07 04 09	19.016
2023 07 04 10	19.12
2023 07 04 11	19.25
2023 07 04 12	19.369
2023 07 04 13	19.461
2023 07 04 14	19.509
2023 07 04 15	19.522
2023 07 04 16	19.537
2023 07 04 17	19.56
