Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 06 24 23	0.061	90.93
2023 06 25 00	0.07	118.73
2023 06 25 01	0.079	136.02
2023 06 25 02	0.082	147.84
2023 06 25 03	0.073	155.17
2023 06 25 04	0.055	158.96
2023 06 25 05	0.031	155.85
2023 06 25 06	0.009	113.96
2023 06 25 07	0.018	22.38
2023 06 25 08	0.031	14.93
2023 06 25 09	0.036	19.44
2023 06 25 10	0.034	27.29
2023 06 25 11	0.031	37.23
2023 06 25 12	0.024	49.89
2023 06 25 13	0.018	67.61
2023 06 25 14	0.014	74.05
2023 06 25 15	0.009	66.03
2023 06 25 16	0.01	36.86
2023 06 25 17	0.017	10.0
2023 06 25 18	0.027	4.23
2023 06 25 19	0.042	4.08
2023 06 25 20	0.053	6.45
2023 06 25 21	0.059	10.73
2023 06 25 22	0.057	16.22
2023 06 25 23	0.047	23.35
2023 06 26 00	0.034	35.53
2023 06 26 01	0.019	55.49
2023 06 26 02	0.01	106.69
2023 06 26 03	0.011	169.69
2023 06 26 04	0.012	208.61
2023 06 26 05	0.012	251.56
2023 06 26 06	0.017	290.55
2023 06 26 07	0.024	313.36
2023 06 26 08	0.03	324.24
2023 06 26 09	0.034	328.17
2023 06 26 10	0.031	326.82
2023 06 26 11	0.025	308.65
2023 06 26 12	0.023	269.99
2023 06 26 13	0.031	239.34
2023 06 26 14	0.044	227.72
2023 06 26 15	0.059	224.99
2023 06 26 16	0.07	226.73
2023 06 26 17	0.074	230.98
2023 06 26 18	0.071	239.85
2023 06 26 19	0.063	253.55
2023 06 26 20	0.056	273.06
2023 06 26 21	0.053	294.17
2023 06 26 22	0.055	313.53
2023 06 26 23	0.058	326.85
2023 06 27 00	0.056	331.63
2023 06 27 01	0.044	325.95
2023 06 27 02	0.031	300.65
2023 06 27 03	0.033	252.64
2023 06 27 04	0.053	228.01
2023 06 27 05	0.074	222.27
2023 06 27 06	0.087	223.15
2023 06 27 07	0.093	226.73
2023 06 27 08	0.091	233.88
2023 06 27 09	0.083	243.74
2023 06 27 10	0.072	255.57
2023 06 27 11	0.063	269.99
2023 06 27 12	0.056	281.3
2023 06 27 13	0.049	286.58
2023 06 27 14	0.044	280.3
2023 06 27 15	0.045	261.15
2023 06 27 16	0.057	242.98
2023 06 27 17	0.076	232.98
2023 06 27 18	0.093	230.66
2023 06 27 19	0.1	233.47
2023 06 27 20	0.096	240.25
2023 06 27 21	0.082	251.56
2023 06 27 22	0.066	270.86
2023 06 27 23	0.058	300.96
2023 06 28 00	0.057	338.74
2023 06 28 01	0.066	353.08
2023 06 28 02	0.062	3.69
