Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 12 28 11	0.065	29.31
2023 12 28 12	0.035	53.13
2023 12 28 13	0.023	97.43
2023 12 28 14	0.018	122.0
2023 12 28 15	0.011	100.3
2023 12 28 16	0.018	33.69
2023 12 28 17	0.041	16.69
2023 12 28 18	0.069	14.23
2023 12 28 19	0.092	14.33
2023 12 28 20	0.107	15.06
2023 12 28 21	0.108	17.1
2023 12 28 22	0.1	19.15
2023 12 28 23	0.087	20.09
2023 12 29 00	0.071	20.46
2023 12 29 01	0.059	17.52
2023 12 29 02	0.054	12.75
2023 12 29 03	0.057	7.98
2023 12 29 04	0.07	7.32
2023 12 29 05	0.087	8.49
2023 12 29 06	0.106	11.41
2023 12 29 07	0.121	14.26
2023 12 29 08	0.129	17.45
2023 12 29 09	0.128	20.55
2023 12 29 10	0.119	24.84
2023 12 29 11	0.103	28.78
2023 12 29 12	0.086	32.21
2023 12 29 13	0.071	32.34
2023 12 29 14	0.059	29.14
2023 12 29 15	0.059	20.55
2023 12 29 16	0.068	12.61
2023 12 29 17	0.084	9.57
2023 12 29 18	0.106	8.13
2023 12 29 19	0.128	8.94
2023 12 29 20	0.141	10.59
2023 12 29 21	0.144	13.17
2023 12 29 22	0.134	16.82
2023 12 29 23	0.119	21.17
2023 12 30 00	0.097	26.04
2023 12 30 01	0.079	30.1
2023 12 30 02	0.069	31.39
2023 12 30 03	0.067	29.21
2023 12 30 04	0.074	25.52
2023 12 30 05	0.087	22.16
2023 12 30 06	0.102	20.55
2023 12 30 07	0.115	20.78
2023 12 30 08	0.123	21.37
2023 12 30 09	0.125	23.07
2023 12 30 10	0.119	25.27
2023 12 30 11	0.11	28.19
2023 12 30 12	0.096	31.06
2023 12 30 13	0.083	35.21
2023 12 30 14	0.069	39.17
2023 12 30 15	0.061	41.71
2023 12 30 16	0.063	39.92
2023 12 30 17	0.073	36.71
2023 12 30 18	0.092	32.66
2023 12 30 19	0.125	27.99
2023 12 30 20	0.16	26.56
2023 12 30 21	0.173	29.66
2023 12 30 22	0.178	33.33
2023 12 30 23	0.18	36.42
2023 12 31 00	0.181	38.51
2023 12 31 01	0.188	37.66
2023 12 31 02	0.195	36.04
2023 12 31 03	0.204	33.84
2023 12 31 04	0.218	31.72
2023 12 31 05	0.232	30.75
2023 12 31 06	0.245	29.8
2023 12 31 07	0.257	29.85
2023 12 31 08	0.26	30.39
2023 12 31 09	0.251	31.35
2023 12 31 10	0.232	32.86
2023 12 31 11	0.203	34.78
2023 12 31 12	0.168	36.8
2023 12 31 13	0.134	37.46
2023 12 31 14	0.103	36.75
2023 12 31 15	0.08	33.29
2023 12 31 16	0.067	24.65
2023 12 31 17	0.065	14.25
2023 12 31 18	0.072	6.34
2023 12 31 19	0.087	2.63
2023 12 31 20	0.104	1.1
2023 12 31 21	0.116	2.46
2023 12 31 22	0.118	4.36
2023 12 31 23	0.113	7.06
2024 01 01 00	0.106	9.19
2024 01 01 01	0.095	12.72
2024 01 01 02	0.087	15.94
2024 01 01 03	0.082	18.43
2024 01 01 04	0.081	19.98
2024 01 01 05	0.083	20.39
2024 01 01 06	0.088	20.48
2024 01 01 07	0.092	20.19
2024 01 01 08	0.094	20.34
2024 01 01 09	0.093	20.55
2024 01 01 10	0.088	21.08
2024 01 01 11	0.081	23.1
2024 01 01 12	0.07	26.2
2024 01 01 13	0.058	29.62
2024 01 01 14	0.048	32.38
2024 01 01 15	0.041	33.31
2024 01 01 16	0.04	29.74
2024 01 01 17	0.047	26.02
2024 01 01 18	0.063	22.13
2024 01 01 19	0.086	20.32
2024 01 01 20	0.109	19.26
2024 01 01 21	0.122	21.97
2024 01 01 22	0.127	26.96
2024 01 01 23	0.141	27.83
2024 01 02 00	0.153	27.56
2024 01 02 01	0.146	29.35
2024 01 02 02	0.137	30.67
2024 01 02 03	0.13	30.88
2024 01 02 04	0.121	29.51
2024 01 02 05	0.12	27.2
2024 01 02 06	0.126	24.74
2024 01 02 07	0.147	23.09
2024 01 02 08	0.172	22.54
2024 01 02 09	0.193	23.39
2024 01 02 10	0.21	24.98
2024 01 02 11	0.225	26.9
2024 01 02 12	0.233	29.19
2024 01 02 13	0.228	31.6
2024 01 02 14	0.21	34.14
2024 01 02 15	0.188	35.29
2024 01 02 16	0.173	34.88
2024 01 02 17	0.168	33.87
2024 01 02 18	0.166	33.02
2024 01 02 19	0.173	32.04
2024 01 02 20	0.178	31.01
2024 01 02 21	0.179	30.41
2024 01 02 22	0.18	29.98
2024 01 02 23	0.175	30.06
2024 01 03 00	0.167	32.55
2024 01 03 01	0.163	33.49
2024 01 03 02	0.15	34.96
2024 01 03 03	0.137	35.53
2024 01 03 04	0.129	34.91
2024 01 03 05	0.123	33.81
2024 01 03 06	0.123	31.75
2024 01 03 07	0.127	29.57
2024 01 03 08	0.133	27.71
2024 01 03 09	0.139	26.38
2024 01 03 10	0.144	25.85
2024 01 03 11	0.144	26.21
2024 01 03 12	0.14	26.2
2024 01 03 13	0.13	27.34
2024 01 03 14	0.121	28.04
2024 01 03 15	0.111	28.4
2024 01 03 16	0.106	28.0
2024 01 03 17	0.105	26.56
2024 01 03 18	0.109	24.22
2024 01 03 19	0.117	20.89
2024 01 03 20	0.128	19.14
2024 01 03 21	0.135	17.22
2024 01 03 22	0.138	15.94
2024 01 03 23	0.134	14.65
2024 01 04 00	0.124	13.92
2024 01 04 01	0.116	12.36
2024 01 04 02	0.102	10.1
2024 01 04 03	0.088	7.12
2024 01 04 04	0.079	4.34
2024 01 04 05	0.077	2.23
2024 01 04 06	0.079	2.17
2024 01 04 07	0.079	5.06
2024 01 04 08	0.076	10.57
2024 01 04 09	0.08	16.63
2024 01 04 10	0.088	21.92
2024 01 04 11	0.093	26.01
2024 01 04 12	0.096	30.55
2024 01 04 13	0.094	33.35
2024 01 04 14	0.091	34.73
2024 01 04 15	0.09	35.98
2024 01 04 16	0.092	36.62
2024 01 04 17	0.093	36.74
2024 01 04 18	0.095	34.35
2024 01 04 19	0.099	33.53
2024 01 04 20	0.105	32.17
2024 01 04 21	0.118	27.64
2024 01 04 22	0.131	25.78
2024 01 04 23	0.139	24.17
2024 01 05 00	0.149	22.79
2024 01 05 01	0.147	23.09
2024 01 05 02	0.142	24.94
2024 01 05 03	0.13	26.95
2024 01 05 04	0.115	29.43
2024 01 05 05	0.102	30.57
2024 01 05 06	0.095	31.68
2024 01 05 07	0.097	31.56
2024 01 05 08	0.103	30.29
2024 01 05 09	0.11	27.95
2024 01 05 10	0.121	26.35
2024 01 05 11	0.133	25.22
2024 01 05 12	0.141	25.48
2024 01 05 13	0.14	25.65
2024 01 05 14	0.132	26.37
2024 01 05 15	0.123	27.6
2024 01 05 16	0.108	29.15
2024 01 05 17	0.094	30.65
2024 01 05 18	0.083	29.32
2024 01 05 19	0.082	24.38
2024 01 05 20	0.086	20.32
2024 01 05 21	0.098	17.7
2024 01 05 22	0.121	15.29
2024 01 05 23	0.141	15.61
2024 01 06 00	0.151	17.71
2024 01 06 01	0.149	19.52
2024 01 06 02	0.143	20.83
2024 01 06 03	0.129	21.8
2024 01 06 04	0.113	22.73
2024 01 06 05	0.096	22.57
2024 01 06 06	0.08	21.13
2024 01 06 07	0.068	18.69
2024 01 06 08	0.062	14.93
2024 01 06 09	0.058	11.88
2024 01 06 10	0.06	11.49
2024 01 06 11	0.065	13.19
2024 01 06 12	0.072	15.94
2024 01 06 13	0.074	18.67
2024 01 06 14	0.073	20.64
2024 01 06 15	0.066	23.08
2024 01 06 16	0.055	24.7
2024 01 06 17	0.04	24.67
2024 01 06 18	0.027	21.03
2024 01 06 19	0.023	9.86
2024 01 06 20	0.024	355.23
2024 01 06 21	0.027	349.5
2024 01 06 22	0.032	351.11
2024 01 06 23	0.042	355.91
2024 01 07 00	0.061	1.87
2024 01 07 01	0.082	7.64
2024 01 07 02	0.097	11.19
2024 01 07 03	0.106	14.68
2024 01 07 04	0.11	17.44
2024 01 07 05	0.108	20.43
2024 01 07 06	0.104	23.62
2024 01 07 07	0.095	26.02
2024 01 07 08	0.089	27.42
2024 01 07 09	0.084	27.47
2024 01 07 10	0.088	26.27
2024 01 07 11	0.095	24.14
2024 01 07 12	0.105	22.2
2024 01 07 13	0.118	19.65
2024 01 07 14	0.131	18.15
2024 01 07 15	0.136	16.97
2024 01 07 16	0.133	15.59
2024 01 07 17	0.123	13.58
2024 01 07 18	0.11	10.39
2024 01 07 19	0.103	6.64
2024 01 07 20	0.104	4.39
2024 01 07 21	0.112	3.57
2024 01 07 22	0.123	4.18
2024 01 07 23	0.136	5.87
2024 01 08 00	0.149	8.07
2024 01 08 01	0.162	10.27
2024 01 08 02	0.173	12.27
2024 01 08 03	0.18	14.11
2024 01 08 04	0.179	15.5
2024 01 08 05	0.17	17.37
2024 01 08 06	0.156	18.66
2024 01 08 07	0.135	18.97
2024 01 08 08	0.116	18.59
2024 01 08 09	0.1	16.1
2024 01 08 10	0.092	12.52
2024 01 08 11	0.092	7.43
2024 01 08 12	0.1	4.0
2024 01 08 13	0.114	3.01
2024 01 08 14	0.129	3.99
2024 01 08 15	0.141	4.86
2024 01 08 16	0.146	6.25
2024 01 08 17	0.145	7.12
2024 01 08 18	0.14	7.37
2024 01 08 19	0.134	8.97
2024 01 08 20	0.123	12.12
2024 01 08 21	0.111	16.15
2024 01 08 22	0.1	21.69
2024 01 08 23	0.092	27.67
2024 01 09 00	0.087	36.6
2024 01 09 01	0.086	41.24
2024 01 09 02	0.088	42.7
2024 01 09 03	0.094	40.27
2024 01 09 04	0.102	35.86
2024 01 09 05	0.109	30.78
2024 01 09 06	0.113	26.11
2024 01 09 07	0.111	22.18
2024 01 09 08	0.106	18.09
2024 01 09 09	0.102	12.95
2024 01 09 10	0.104	7.66
2024 01 09 11	0.112	3.57
2024 01 09 12	0.123	1.39
2024 01 09 13	0.136	2.1
2024 01 09 14	0.148	3.47
2024 01 09 15	0.157	5.09
2024 01 09 16	0.161	6.41
2024 01 09 17	0.157	6.94
2024 01 09 18	0.146	7.07
2024 01 09 19	0.126	7.74
2024 01 09 20	0.105	8.2
2024 01 09 21	0.084	8.13
2024 01 09 22	0.07	7.32
2024 01 09 23	0.063	5.44
2024 01 10 00	0.047	2.43
2024 01 10 01	0.068	4.2
2024 01 10 02	0.083	6.18
2024 01 10 03	0.107	8.58
2024 01 10 04	0.125	11.48
2024 01 10 05	0.136	13.12
2024 01 10 06	0.138	13.83
2024 01 10 07	0.135	14.95
2024 01 10 08	0.119	17.06
2024 01 10 09	0.098	19.53
2024 01 10 10	0.086	20.32
2024 01 10 11	0.076	20.55
2024 01 10 12	0.076	19.85
2024 01 10 13	0.082	17.56
2024 01 10 14	0.096	16.18
2024 01 10 15	0.109	14.29
2024 01 10 16	0.121	12.32
2024 01 10 17	0.129	11.56
2024 01 10 18	0.13	11.48
2024 01 10 19	0.126	11.84
2024 01 10 20	0.117	13.32
2024 01 10 21	0.099	15.7
2024 01 10 22	0.079	16.14
2024 01 10 23	0.064	11.65
2024 01 11 00	0.064	8.88
2024 01 11 01	0.068	6.7
2024 01 11 02	0.074	5.4
2024 01 11 03	0.078	5.12
2024 01 11 04	0.078	5.85
2024 01 11 05	0.072	5.55
2024 01 11 06	0.059	3.87
2024 01 11 07	0.046	0.0
2024 01 11 08	0.029	348.31
2024 01 11 09	0.016	307.56
2024 01 11 10	0.021	248.19
2024 01 11 11	0.032	232.43
2024 01 11 12	0.04	230.01
2024 01 11 13	0.041	237.84
2024 01 11 14	0.036	254.05
2024 01 11 15	0.033	283.62
2024 01 11 16	0.039	310.91
2024 01 11 17	0.05	328.84
2024 01 11 18	0.06	337.67
2024 01 11 19	0.063	340.7
2024 01 11 20	0.057	342.82
2024 01 11 21	0.041	338.96
2024 01 11 22	0.024	321.7
2024 01 11 23	0.018	260.53
2024 01 12 00	0.029	227.72
2024 01 12 01	0.036	222.79
2024 01 12 02	0.036	227.2
2024 01 12 03	0.03	240.94
2024 01 12 04	0.024	274.76
2024 01 12 05	0.029	320.44
2024 01 12 06	0.043	342.8
2024 01 12 07	0.054	350.53
2024 01 12 08	0.055	352.74
2024 01 12 09	0.047	350.34
2024 01 12 10	0.035	340.01
2024 01 12 11	0.027	319.39
2024 01 12 12	0.027	300.25
2024 01 12 13	0.031	298.17
2024 01 12 14	0.036	311.63
2024 01 12 15	0.046	329.03
2024 01 12 16	0.063	344.42
2024 01 12 17	0.082	353.73
2024 01 12 18	0.1	0.57
2024 01 12 19	0.111	6.17
2024 01 12 20	0.112	11.8
2024 01 12 21	0.103	18.08
2024 01 12 22	0.086	24.49
2024 01 12 23	0.067	32.98
2024 01 13 00	0.051	42.64
2024 01 13 01	0.043	47.81
2024 01 13 02	0.043	45.0
2024 01 13 03	0.052	34.9
2024 01 13 04	0.07	26.2
2024 01 13 05	0.092	22.14
2024 01 13 06	0.117	19.81
2024 01 13 07	0.138	19.34
2024 01 13 08	0.149	20.37
2024 01 13 09	0.144	22.31
2024 01 13 10	0.131	24.8
2024 01 13 11	0.112	28.61
2024 01 13 12	0.094	32.0
2024 01 13 13	0.082	33.69
2024 01 13 14	0.081	30.96
2024 01 13 15	0.089	27.13
2024 01 13 16	0.107	22.98
2024 01 13 17	0.13	20.24
2024 01 13 18	0.15	19.39
2024 01 13 19	0.163	19.65
2024 01 13 20	0.168	21.23
2024 01 13 21	0.163	23.42
2024 01 13 22	0.146	25.86
2024 01 13 23	0.128	28.96
2024 01 14 00	0.112	32.7
2024 01 14 01	0.102	34.62
2024 01 14 02	0.099	33.53
2024 01 14 03	0.106	29.94
2024 01 14 04	0.12	26.56
2024 01 14 05	0.141	23.67
2024 01 14 06	0.163	21.86
2024 01 14 07	0.18	21.15
2024 01 14 08	0.187	20.94
2024 01 14 09	0.182	21.51
2024 01 14 10	0.162	22.45
2024 01 14 11	0.132	24.44
2024 01 14 12	0.103	25.82
2024 01 14 13	0.081	26.25
2024 01 14 14	0.071	22.98
2024 01 14 15	0.074	17.94
2024 01 14 16	0.089	14.8
2024 01 14 17	0.112	13.41
2024 01 14 18	0.136	13.52
2024 01 14 19	0.158	14.65
2024 01 14 20	0.168	16.5
2024 01 14 21	0.168	18.0
2024 01 14 22	0.148	20.51
2024 01 14 23	0.124	22.22
2024 01 15 00	0.105	23.41
2024 01 15 01	0.08	27.19
2024 01 15 02	0.058	33.14
2024 01 15 03	0.044	39.47
2024 01 15 04	0.039	42.95
2024 01 15 05	0.043	44.06
2024 01 15 06	0.05	45.8
2024 01 15 07	0.062	43.69
2024 01 15 08	0.072	42.22
2024 01 15 09	0.081	40.52
2024 01 15 10	0.082	41.05
2024 01 15 11	0.072	47.24
2024 01 15 12	0.057	56.3
2024 01 15 13	0.045	67.96
2024 01 15 14	0.037	73.0
2024 01 15 15	0.034	60.46
2024 01 15 16	0.041	40.15
2024 01 15 17	0.064	27.75
2024 01 15 18	0.092	23.52
2024 01 15 19	0.117	23.07
2024 01 15 20	0.137	23.96
2024 01 15 21	0.148	25.18
2024 01 15 22	0.145	25.68
2024 01 15 23	0.129	27.15
2024 01 16 00	0.106	29.94
2024 01 16 01	0.082	32.15
2024 01 16 02	0.066	30.81
2024 01 16 03	0.059	23.96
2024 01 16 04	0.067	16.29
2024 01 16 05	0.087	11.18
2024 01 16 06	0.115	9.95
2024 01 16 07	0.143	10.05
2024 01 16 08	0.168	10.97
2024 01 16 09	0.182	11.98
2024 01 16 10	0.182	12.35
2024 01 16 11	0.17	12.56
2024 01 16 12	0.148	12.06
2024 01 16 13	0.124	11.58
2024 01 16 14	0.102	11.2
2024 01 16 15	0.086	11.3
2024 01 16 16	0.079	11.59
2024 01 16 17	0.082	13.36
2024 01 16 18	0.093	15.52
2024 01 16 19	0.107	17.92
2024 01 16 20	0.12	19.33
2024 01 16 21	0.132	20.35
2024 01 16 22	0.136	21.87
2024 01 16 23	0.132	25.98
2024 01 17 00	0.102	29.32
2024 01 17 01	0.096	34.01
2024 01 17 02	0.083	41.12
2024 01 17 03	0.071	47.83
2024 01 17 04	0.072	48.36
2024 01 17 05	0.084	43.55
2024 01 17 06	0.104	38.4
2024 01 17 07	0.131	34.17
2024 01 17 08	0.162	31.63
2024 01 17 09	0.189	30.75
2024 01 17 10	0.21	30.82
2024 01 17 11	0.219	32.17
2024 01 17 12	0.218	34.56
2024 01 17 13	0.208	37.97
2024 01 17 14	0.188	42.41
2024 01 17 15	0.171	45.7
2024 01 17 16	0.166	45.48
2024 01 17 17	0.175	42.22
2024 01 17 18	0.198	38.25
2024 01 17 19	0.231	35.33
2024 01 17 20	0.258	34.12
2024 01 17 21	0.275	33.74
2024 01 17 22	0.275	34.2
2024 01 17 23	0.262	34.77
2024 01 18 00	0.247	35.8
2024 01 18 01	0.229	37.01
2024 01 18 02	0.213	38.15
2024 01 18 03	0.204	38.83
2024 01 18 04	0.197	39.24
2024 01 18 05	0.195	38.15
2024 01 18 06	0.194	37.28
2024 01 18 07	0.189	36.2
2024 01 18 08	0.184	35.06
2024 01 18 09	0.18	33.25
2024 01 18 10	0.169	30.79
2024 01 18 11	0.149	29.12
2024 01 18 12	0.119	28.91
2024 01 18 13	0.09	26.28
2024 01 18 14	0.061	21.1
2024 01 18 15	0.038	8.97
2024 01 18 16	0.028	347.9
2024 01 18 17	0.029	327.38
2024 01 18 18	0.038	325.49
2024 01 18 19	0.053	331.04
2024 01 18 20	0.068	336.8
2024 01 18 21	0.081	340.01
2024 01 18 22	0.1	344.44
2024 01 18 23	0.111	346.46
2024 01 19 00	0.102	346.5
2024 01 19 01	0.087	341.98
2024 01 19 02	0.069	328.6
2024 01 19 03	0.056	304.24
2024 01 19 04	0.059	274.84
2024 01 19 05	0.07	252.59
2024 01 19 06	0.085	238.34
2024 01 19 07	0.1	231.87
2024 01 19 08	0.11	230.12
2024 01 19 09	0.116	228.12
2024 01 19 10	0.119	225.33
2024 01 19 11	0.118	223.63
2024 01 19 12	0.118	221.91
2024 01 19 13	0.119	219.92
2024 01 19 14	0.126	217.59
2024 01 19 15	0.137	215.19
2024 01 19 16	0.147	214.22
2024 01 19 17	0.156	214.09
2024 01 19 18	0.161	215.16
2024 01 19 19	0.157	216.72
2024 01 19 20	0.148	219.26
2024 01 19 21	0.13	222.51
2024 01 19 22	0.105	226.92
2024 01 19 23	0.08	233.55
2024 01 20 00	0.059	243.0
2024 01 20 01	0.045	253.53
2024 01 20 02	0.038	256.32
2024 01 20 03	0.033	254.29
2024 01 20 04	0.032	244.23
2024 01 20 05	0.034	234.46
2024 01 20 06	0.038	223.95
2024 01 20 07	0.041	217.14
2024 01 20 08	0.041	213.31
2024 01 20 09	0.038	213.27
2024 01 20 10	0.029	218.04
2024 01 20 11	0.017	234.46
2024 01 20 12	0.011	307.87
2024 01 20 13	0.023	350.13
2024 01 20 14	0.038	1.5
2024 01 20 15	0.05	7.96
2024 01 20 16	0.059	11.68
2024 01 20 17	0.065	15.1
2024 01 20 18	0.07	18.17
2024 01 20 19	0.075	21.8
2024 01 20 20	0.086	23.89
2024 01 20 21	0.106	22.7
2024 01 20 22	0.119	24.64
2024 01 20 23	0.139	25.46
2024 01 21 00	0.159	26.88
2024 01 21 01	0.18	27.69
2024 01 21 02	0.193	29.48
2024 01 21 03	0.195	31.41
2024 01 21 04	0.191	33.52
2024 01 21 05	0.181	35.35
2024 01 21 06	0.165	36.86
2024 01 21 07	0.144	38.53
2024 01 21 08	0.13	38.45
2024 01 21 09	0.122	37.33
2024 01 21 10	0.12	34.87
2024 01 21 11	0.126	32.43
2024 01 21 12	0.14	29.84
2024 01 21 13	0.158	28.66
2024 01 21 14	0.175	28.61
2024 01 21 15	0.183	29.78
2024 01 21 16	0.182	31.77
2024 01 21 17	0.174	34.5
2024 01 21 18	0.161	36.44
2024 01 21 19	0.148	36.48
2024 01 21 20	0.134	35.58
2024 01 21 21	0.123	34.46
2024 01 21 22	0.124	33.56
2024 01 21 23	0.134	31.32
2024 01 22 00	0.15	30.83
2024 01 22 01	0.167	30.08
2024 01 22 02	0.183	29.78
2024 01 22 03	0.195	30.1
2024 01 22 04	0.209	30.96
2024 01 22 05	0.228	31.6
2024 01 22 06	0.226	33.12
2024 01 22 07	0.21	35.34
2024 01 22 08	0.192	37.4
2024 01 22 09	0.18	38.46
2024 01 22 10	0.178	38.15
2024 01 22 11	0.179	37.31
2024 01 22 12	0.179	36.16
2024 01 22 13	0.179	35.01
2024 01 22 14	0.181	33.51
2024 01 22 15	0.181	32.37
2024 01 22 16	0.175	31.52
2024 01 22 17	0.163	32.22
2024 01 22 18	0.144	33.69
2024 01 22 19	0.126	33.69
2024 01 22 20	0.11	32.11
2024 01 22 21	0.096	27.89
2024 01 22 22	0.08	24.32
2024 01 22 23	0.072	18.43
2024 01 23 00	0.074	12.36
2024 01 23 01	0.082	8.32
2024 01 23 02	0.094	6.67
2024 01 23 03	0.107	6.39
2024 01 23 04	0.12	6.65
2024 01 23 05	0.125	7.8
2024 01 23 06	0.12	8.6
2024 01 23 07	0.107	9.63
2024 01 23 08	0.089	10.93
2024 01 23 09	0.071	11.3
2024 01 23 10	0.057	11.11
2024 01 23 11	0.051	11.09
2024 01 23 12	0.053	10.68
2024 01 23 13	0.062	11.12
2024 01 23 14	0.076	12.04
2024 01 23 15	0.092	14.33
2024 01 23 16	0.107	16.23
2024 01 23 17	0.115	17.65
2024 01 23 18	0.116	19.05
2024 01 23 19	0.109	20.25
2024 01 23 20	0.094	21.68
2024 01 23 21	0.079	21.39
2024 01 23 22	0.072	16.92
2024 01 23 23	0.07	13.05
2024 01 24 00	0.1	19.15
2024 01 24 01	0.106	16.9
2024 01 24 02	0.118	15.21
2024 01 24 03	0.132	14.87
2024 01 24 04	0.147	14.88
2024 01 24 05	0.162	15.31
2024 01 24 06	0.166	16.03
2024 01 24 07	0.16	17.75
2024 01 24 08	0.143	19.94
2024 01 24 09	0.122	21.54
2024 01 24 10	0.101	23.27
2024 01 24 11	0.083	23.19
2024 01 24 12	0.071	21.2
2024 01 24 13	0.07	15.61
2024 01 24 14	0.081	11.3
2024 01 24 15	0.098	8.79
2024 01 24 16	0.115	7.43
2024 01 24 17	0.132	7.39
2024 01 24 18	0.141	7.32
2024 01 24 19	0.141	8.53
2024 01 24 20	0.133	10.38
2024 01 24 21	0.116	12.84
2024 01 24 22	0.098	16.58
2024 01 24 23	0.081	19.98
2024 01 25 00	0.073	21.65
2024 01 25 01	0.069	22.87
2024 01 25 02	0.071	22.98
2024 01 25 03	0.08	22.72
2024 01 25 04	0.091	23.19
2024 01 25 05	0.1	23.49
2024 01 25 06	0.103	24.58
2024 01 25 07	0.097	26.04
2024 01 25 08	0.087	27.14
2024 01 25 09	0.073	28.3
2024 01 25 10	0.062	27.8
2024 01 25 11	0.055	24.7
2024 01 25 12	0.056	18.43
2024 01 25 13	0.066	12.99
2024 01 25 14	0.084	10.24
2024 01 25 15	0.105	9.81
2024 01 25 16	0.127	10.86
2024 01 25 17	0.145	12.31
2024 01 25 18	0.156	14.03
2024 01 25 19	0.159	16.38
2024 01 25 20	0.153	19.37
2024 01 25 21	0.143	22.09
2024 01 25 22	0.129	24.59
2024 01 25 23	0.112	27.47
2024 01 26 00	0.098	30.46
2024 01 26 01	0.09	30.52
2024 01 26 02	0.092	28.51
2024 01 26 03	0.101	25.05
2024 01 26 04	0.118	22.88
2024 01 26 05	0.135	22.19
2024 01 26 06	0.149	21.94
2024 01 26 07	0.154	22.42
2024 01 26 08	0.15	24.34
2024 01 26 09	0.139	26.38
2024 01 26 10	0.127	28.57
2024 01 26 11	0.115	29.68
2024 01 26 12	0.107	27.75
2024 01 26 13	0.107	22.98
2024 01 26 14	0.118	16.74
2024 01 26 15	0.138	11.63
2024 01 26 16	0.164	8.03
2024 01 26 17	0.183	7.51
2024 01 26 18	0.196	7.3
2024 01 26 19	0.202	7.65
2024 01 26 20	0.2	8.0
2024 01 26 21	0.19	8.47
2024 01 26 22	0.171	8.36
2024 01 26 23	0.152	7.91
2024 01 27 00	0.14	7.37
2024 01 27 01	0.132	6.91
2024 01 27 02	0.13	6.58
2024 01 27 03	0.132	6.48
2024 01 27 04	0.137	7.12
2024 01 27 05	0.14	8.18
2024 01 27 06	0.142	9.72
2024 01 27 07	0.138	11.22
2024 01 27 08	0.126	12.28
2024 01 27 09	0.111	13.53
2024 01 27 10	0.092	15.09
2024 01 27 11	0.076	15.12
2024 01 27 12	0.066	13.82
2024 01 27 13	0.067	11.97
2024 01 27 14	0.076	10.57
2024 01 27 15	0.093	9.86
2024 01 27 16	0.112	11.3
2024 01 27 17	0.13	12.86
2024 01 27 18	0.146	14.6
2024 01 27 19	0.157	16.24
2024 01 27 20	0.158	18.77
2024 01 27 21	0.15	21.8
2024 01 27 22	0.138	24.71
2024 01 27 23	0.127	27.57
2024 01 28 00	0.117	30.04
2024 01 28 01	0.111	31.4
2024 01 28 02	0.109	30.78
2024 01 28 03	0.114	28.81
2024 01 28 04	0.124	25.74
2024 01 28 05	0.137	23.19
2024 01 28 06	0.149	21.94
2024 01 28 07	0.157	21.66
2024 01 28 08	0.156	22.14
2024 01 28 09	0.149	23.29
2024 01 28 10	0.135	25.8
2024 01 28 11	0.121	28.04
2024 01 28 12	0.11	29.8
2024 01 28 13	0.104	30.49
2024 01 28 14	0.106	28.73
2024 01 28 15	0.113	26.11
2024 01 28 16	0.125	23.07
2024 01 28 17	0.141	20.74
2024 01 28 18	0.16	18.09
2024 01 28 19	0.188	15.73
2024 01 28 20	0.211	15.35
2024 01 28 21	0.218	16.44
2024 01 28 22	0.215	18.35
2024 01 28 23	0.205	20.45
2024 01 29 00	0.191	22.41
2024 01 29 01	0.18	24.15
2024 01 29 02	0.173	25.23
2024 01 29 03	0.172	25.82
2024 01 29 04	0.173	25.53
2024 01 29 05	0.179	24.99
2024 01 29 06	0.186	24.08
2024 01 29 07	0.192	23.62
2024 01 29 08	0.19	24.14
2024 01 29 09	0.182	25.01
2024 01 29 10	0.165	26.56
2024 01 29 11	0.147	28.82
2024 01 29 12	0.13	30.28
2024 01 29 13	0.121	30.8
2024 01 29 14	0.119	30.22
2024 01 29 15	0.124	27.8
2024 01 29 16	0.133	25.22
2024 01 29 17	0.143	23.35
2024 01 29 18	0.153	22.21
2024 01 29 19	0.163	21.21
2024 01 29 20	0.17	19.92
2024 01 29 21	0.169	19.6
2024 01 29 22	0.16	20.01
2024 01 29 23	0.146	20.41
2024 01 30 00	0.128	20.97
2024 01 30 01	0.114	20.96
2024 01 30 02	0.108	19.44
2024 01 30 03	0.108	17.1
2024 01 30 04	0.113	14.76
2024 01 30 05	0.121	12.32
2024 01 30 06	0.129	10.7
2024 01 30 07	0.13	9.67
2024 01 30 08	0.126	8.19
2024 01 30 09	0.115	6.94
2024 01 30 10	0.098	5.24
2024 01 30 11	0.075	1.52
2024 01 30 12	0.052	353.41
2024 01 30 13	0.038	338.74
2024 01 30 14	0.033	325.84
2024 01 30 15	0.036	327.17
2024 01 30 16	0.044	333.43
2024 01 30 17	0.058	340.94
2024 01 30 18	0.073	346.71
2024 01 30 19	0.089	350.96
2024 01 30 20	0.1	354.28
2024 01 30 21	0.107	357.32
2024 01 30 22	0.105	358.9
2024 01 30 23	0.095	0.6
2024 01 31 00	0.082	3.48
2024 01 31 01	0.07	6.51
2024 01 31 02	0.061	10.38
2024 01 31 03	0.057	14.99
2024 01 31 04	0.059	18.74
2024 01 31 05	0.063	21.29
2024 01 31 06	0.067	23.53
2024 01 31 07	0.067	25.42
2024 01 31 08	0.066	25.79
2024 01 31 09	0.063	26.96
2024 01 31 10	0.057	27.89
2024 01 31 11	0.048	30.76
2024 01 31 12	0.038	34.5
2024 01 31 13	0.032	38.65
