datetime,wave_height
2023-02-03,2.23
2023-02-04,1.69
2023-02-05,1.28
2023-02-06,1.83
2023-02-07,2.03
2023-02-08,2.35
2023-02-09,2.48
2023-02-10,1.51
2023-02-11,2.5
2023-02-12,2.34
2023-02-13,1.53
2023-02-14,0.75
2023-02-15,0.72
2023-02-16,0.92
2023-02-17,1.13
2023-02-18,1.44
2023-02-19,1.48
2023-02-20,1.58
2023-02-21,1.4
2023-02-22,1.03
2023-02-23,1.75
2023-02-24,1.89
2023-02-25,2.29
2023-02-26,1.83
2023-02-27,2.04
2023-02-28,2.41
2023-03-01,1.89
2023-03-02,1.73
2023-03-03,1.37
2023-03-04,0.97
2023-03-05,1.11
2023-03-06,1.11
2023-03-07,0.85
2023-03-08,0.82
2023-03-09,1.37
2023-03-10,2.0
2023-03-11,3.2
2023-03-12,2.04
2023-03-13,1.2
2023-03-14,3.25
2023-03-15,3.55
2023-03-16,1.79
2023-03-17,1.01
2023-03-18,1.21
2023-03-19,1.96
2023-03-20,1.51
2023-03-21,1.04
2023-03-22,0.85
2023-03-23,1.22
2023-03-24,1.98
2023-03-25,2.15
2023-03-26,2.06
2023-03-27,3.57
2023-03-28,2.17
2023-03-29,1.1
2023-03-30,1.09
2023-03-31,1.3
2023-04-01,2.95
2023-04-02,2.58
2023-04-03,2.26
2023-04-04,1.71
2023-04-05,1.36
2023-04-06,1.26
2023-04-07,1.01
2023-04-08,1.59
2023-04-09,1.26
2023-04-10,1.19
2023-04-11,1.51
2023-04-12,1.42
2023-04-13,3.09
2023-04-14,3.43
2023-04-15,3.54
2023-04-16,2.38
2023-04-17,1.6
2023-04-18,1.73
2023-04-19,1.71
2023-04-20,1.35
2023-04-21,1.05
2023-04-22,0.92
2023-04-23,0.86
2023-04-24,1.46
2023-04-25,0.86
2023-04-26,0.83
2023-04-27,0.65
2023-04-28,0.46
2023-04-29,0.39
2023-04-30,0.61
2023-05-01,0.53
2023-05-02,1.13
2023-05-03,1.88
2023-05-04,1.51
2023-05-05,0.85
2023-05-06,0.6
2023-05-07,0.59
2023-05-08,0.49
2023-05-09,0.57
2023-05-10,1.72
2023-05-11,1.7
2023-05-12,1.83
2023-05-13,1.57
2023-05-14,1.27
2023-05-15,1.14
2023-05-16,1.25
2023-05-17,1.55
2023-05-18,1.37
2023-05-19,1.1
2023-05-20,1.31
2023-05-21,1.29
2023-05-22,1.23
2023-05-23,1.39
2023-05-24,1.45
2023-05-25,1.6
2023-05-26,2.07
2023-05-27,2.35
2023-05-28,1.59
2023-05-29,1.01
2023-05-30,1.1
2023-05-31,1.11
2023-06-01,0.96
2023-06-02,0.79
2023-06-03,0.82
2023-06-04,0.82
2023-06-05,0.8
2023-06-06,0.56
2023-06-07,0.54
2023-06-08,0.73
2023-06-09,0.62
2023-06-10,0.43
2023-06-11,0.22
2023-06-12,0.81
2023-06-13,0.65
2023-06-14,0.69
2023-06-15,0.68
2023-06-16,0.68
2023-06-17,0.89
2023-06-18,0.81
2023-06-19,0.49
2023-06-20,0.61
2023-06-21,0.57
2023-06-22,0.39
2023-06-23,0.62
2023-06-24,0.83
2023-06-25,1.11
2023-06-26,0.84
2023-06-27,0.98
2023-06-28,1.29
2023-06-29,1.11
2023-06-30,1.49
2023-07-01,1.37
2023-07-02,1.87
2023-07-03,1.86
2023-07-04,1.4
2023-07-05,1.55
2023-07-06,1.31
2023-07-07,1.03
2023-07-08,0.8
2023-07-09,1.09
2023-07-10,1.03
2023-07-11,0.87
2023-07-12,0.88
2023-07-13,0.96
2023-07-14,0.85
2023-07-15,1.96
2023-07-16,2.15
2023-07-17,1.54
2023-07-18,1.59
2023-07-19,1.27
2023-07-20,0.82
2023-07-21,0.56
2023-07-22,0.51
2023-07-23,0.49
2023-07-24,1.4
2023-07-25,2.12
2023-07-26,1.63
2023-07-27,1.01
2023-07-28,0.99
2023-07-29,1.05
2023-07-30,1.35
2023-07-31,1.34
2023-08-01,1.36
2023-08-02,1.55
2023-08-03,3.38
2023-08-04,3.27
2023-08-05,2.14
2023-08-06,1.24
2023-08-07,1.69
2023-08-08,1.3
2023-08-09,1.04
2023-08-10,1.3
2023-08-11,0.84
2023-08-12,0.87
2023-08-13,1.35
2023-08-14,1.34
2023-08-15,1.16
2023-08-16,1.08
2023-08-17,1.08
2023-08-18,0.61
2023-08-19,0.46
2023-08-20,0.72
2023-08-21,0.92
2023-08-22,1.09
2023-08-23,1.08
2023-08-24,0.95
2023-08-25,1.26
2023-08-26,0.97
2023-08-27,1.22
2023-08-28,1.6
2023-08-29,1.52
2023-08-30,1.24
2023-08-31,1.15
2023-09-01,0.97
2023-09-02,0.91
2023-09-03,1.23
2023-09-04,2.49
2023-09-05,1.95
2023-09-06,1.73
2023-09-07,1.47
2023-09-08,0.92
2023-09-09,0.52
2023-09-10,0.61
2023-09-11,0.67
2023-09-12,1.17
2023-09-13,1.07
2023-09-14,1.06
2023-09-15,1.15
2023-09-16,0.85
2023-09-17,0.93
2023-09-18,1.09
2023-09-19,1.61
2023-09-20,1.98
2023-09-21,1.99
2023-09-22,2.82
2023-09-23,2.76
2023-09-24,1.64
2023-09-25,1.35
2023-09-26,1.72
2023-09-27,1.72
2023-09-28,1.45
2023-09-29,1.92
2023-09-30,1.24
2023-10-01,1.08
2023-10-02,0.93
2023-10-03,1.07
2023-10-04,1.46
2023-10-05,1.61
2023-10-06,1.14
2023-10-07,0.91
2023-10-08,1.07
2023-10-09,0.72
2023-10-10,0.5
2023-10-11,0.37
2023-10-12,0.22
2023-10-13,1.02
2023-10-14,1.57
2023-10-15,1.63
2023-10-16,2.34
2023-10-17,1.49
2023-10-18,0.8
2023-10-19,2.13
2023-10-20,1.7
2023-10-21,4.84
2023-10-22,3.43
2023-10-23,2.69
2023-10-24,1.71
2023-10-25,1.18
2023-10-26,2.05
2023-10-27,2.36
2023-10-28,2.88
2023-10-29,2.86
2023-10-30,2.03
2023-10-31,2.06
2023-11-01,2.14
2023-11-02,2.26
2023-11-03,5.11
2023-11-04,5.12
2023-11-05,4.68
2023-11-06,4.65
2023-11-07,2.7
2023-11-08,2.6
2023-11-09,1.55
2023-11-10,3.72
2023-11-11,4.06
2023-11-12,2.64
2023-11-13,2.36
2023-11-14,1.58
2023-11-15,2.11
2023-11-16,1.56
2023-11-17,2.71
2023-11-18,2.139464285714286
2023-11-19,1.23
2023-11-20,1.3
2023-11-21,2.28
