Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2022 07 02 22	0.181	350.79
2022 07 02 23	0.133	5.15
2022 07 03 00	0.074	10.85
2022 07 03 01	0.031	327.8
2022 07 03 02	0.067	275.11
2022 07 03 03	0.113	273.03
2022 07 03 04	0.141	280.59
2022 07 03 05	0.175	287.6
2022 07 03 06	0.204	294.3
2022 07 03 07	0.208	301.85
2022 07 03 08	0.213	307.78
2022 07 03 09	0.216	312.0
2022 07 03 10	0.208	312.66
2022 07 03 11	0.191	308.42
2022 07 03 12	0.19	300.19
2022 07 03 13	0.212	292.95
2022 07 03 14	0.25	290.1
2022 07 03 15	0.284	292.06
2022 07 03 16	0.305	297.32
2022 07 03 17	0.314	302.52
2022 07 03 18	0.314	306.97
2022 07 03 19	0.304	310.6
2022 07 03 20	0.294	313.48
2022 07 03 21	0.287	315.28
2022 07 03 22	0.271	316.19
2022 07 03 23	0.242	314.83
2022 07 04 00	0.213	307.56
2022 07 04 01	0.203	298.45
2022 07 04 02	0.218	291.99
2022 07 04 03	0.244	290.8
2022 07 04 04	0.268	293.22
2022 07 04 05	0.28	297.56
2022 07 04 06	0.276	302.31
2022 07 04 07	0.264	307.0
2022 07 04 08	0.252	310.18
2022 07 04 09	0.244	310.34
2022 07 04 10	0.239	305.81
2022 07 04 11	0.231	298.88
2022 07 04 12	0.227	291.38
2022 07 04 13	0.237	285.38
2022 07 04 14	0.262	283.19
2022 07 04 15	0.296	285.44
2022 07 04 16	0.324	291.5
2022 07 04 17	0.337	299.45
2022 07 04 18	0.326	308.41
2022 07 04 19	0.294	317.75
2022 07 04 20	0.258	327.66
2022 07 04 21	0.222	337.24
2022 07 04 22	0.185	344.01
2022 07 04 23	0.14	345.96
2022 07 05 00	0.102	332.18
2022 07 05 01	0.101	298.83
2022 07 05 02	0.138	279.12
2022 07 05 03	0.185	276.51
2022 07 05 04	0.228	280.86
2022 07 05 05	0.263	288.15
2022 07 05 06	0.27	295.9
2022 07 05 07	0.258	303.01
2022 07 05 08	0.243	308.32
2022 07 05 09	0.235	309.83
2022 07 05 10	0.234	309.11
2022 07 05 11	0.235	306.18
2022 07 05 12	0.232	301.42
2022 07 05 13	0.233	295.35
2022 07 05 14	0.246	289.9
2022 07 05 15	0.264	287.81
2022 07 05 16	0.281	288.62
2022 07 05 17	0.293	291.4
2022 07 05 18	0.295	295.43
2022 07 05 19	0.289	299.84
2022 07 05 20	0.274	302.93
2022 07 05 21	0.255	303.5
2022 07 05 22	0.239	302.03
2022 07 05 23	0.221	300.38
2022 07 06 00	0.222	292.75
2022 07 06 01	0.202	293.9
2022 07 06 02	0.189	292.64
2022 07 06 03	0.185	290.88
2022 07 06 04	0.185	292.14
2022 07 06 05	0.186	296.15
2022 07 06 06	0.176	302.52
2022 07 06 07	0.158	310.4
2022 07 06 08	0.132	318.36
2022 07 06 09	0.103	322.46
2022 07 06 10	0.077	315.52
2022 07 06 11	0.065	289.53
2022 07 06 12	0.084	261.09
2022 07 06 13	0.122	249.49
2022 07 06 14	0.154	250.39
2022 07 06 15	0.174	256.75
2022 07 06 16	0.189	266.06
2022 07 06 17	0.205	277.26
2022 07 06 18	0.212	289.79
2022 07 06 19	0.212	305.03
2022 07 06 20	0.201	322.44
2022 07 06 21	0.178	339.33
2022 07 06 22	0.151	355.83
2022 07 06 23	0.126	10.5
2022 07 07 00	0.099	23.19
2022 07 07 01	0.069	40.33
2022 07 07 02	0.046	73.88
2022 07 07 03	0.045	123.34
2022 07 07 04	0.063	153.83
2022 07 07 05	0.077	167.39
2022 07 07 06	0.079	174.93
2022 07 07 07	0.067	184.26
2022 07 07 08	0.045	198.03
2022 07 07 09	0.024	224.99
2022 07 07 10	0.02	272.86
2022 07 07 11	0.027	291.03
2022 07 07 12	0.041	289.74
2022 07 07 13	0.055	286.79
2022 07 07 14	0.058	286.88
2022 07 07 15	0.047	291.12
2022 07 07 16	0.048	283.17
2022 07 07 17	0.057	277.98
2022 07 07 18	0.069	279.05
2022 07 07 19	0.072	289.44
2022 07 07 20	0.072	310.51
2022 07 07 21	0.076	332.76
2022 07 07 22	0.084	351.09
2022 07 07 23	0.094	4.25
2022 07 08 00	0.098	12.9
2022 07 08 01	0.09	16.03
2022 07 08 02	0.069	16.62
2022 07 08 03	0.047	13.44
2022 07 08 04	0.03	0.0
2022 07 08 05	0.026	342.25
2022 07 08 06	0.026	330.52
2022 07 08 07	0.033	327.26
2022 07 08 08	0.039	328.29
2022 07 08 09	0.046	332.87
2022 07 08 10	0.051	336.94
2022 07 08 11	0.059	335.15
2022 07 08 12	0.068	326.3
2022 07 08 13	0.07	321.34
2022 07 08 14	0.087	307.52
2022 07 08 15	0.116	298.1
2022 07 08 16	0.144	297.97
2022 07 08 17	0.177	301.9
2022 07 08 18	0.209	308.01
2022 07 08 19	0.231	314.12
2022 07 08 20	0.244	320.97
2022 07 08 21	0.246	327.92
2022 07 08 22	0.232	334.2
2022 07 08 23	0.212	343.01
2022 07 09 00	0.192	354.34
2022 07 09 01	0.166	6.18
2022 07 09 02	0.131	16.78
2022 07 09 03	0.084	22.93
2022 07 09 04	0.036	24.44
2022 07 09 05	0.01	275.71
2022 07 09 06	0.038	252.03
2022 07 09 07	0.064	269.99
2022 07 09 08	0.088	289.04
2022 07 09 09	0.111	302.55
2022 07 09 10	0.128	311.85
2022 07 09 11	0.134	315.6
2022 07 09 12	0.133	318.93
2022 07 09 13	0.133	325.95
2022 07 09 14	0.13	328.13
2022 07 09 15	0.127	322.67
2022 07 09 16	0.126	311.48
2022 07 09 17	0.142	299.44
2022 07 09 18	0.165	293.15
2022 07 09 19	0.194	293.27
2022 07 09 20	0.225	298.95
2022 07 09 21	0.255	307.99
2022 07 09 22	0.282	318.58
2022 07 09 23	0.297	329.03
2022 07 10 00	0.293	340.26
2022 07 10 01	0.278	351.31
2022 07 10 02	0.245	1.87
2022 07 10 03	0.196	12.9
2022 07 10 04	0.139	25.09
2022 07 10 05	0.075	41.76
2022 07 10 06	0.024	114.44
2022 07 10 07	0.064	198.15
2022 07 10 08	0.1	215.27
2022 07 10 09	0.116	233.71
2022 07 10 10	0.12	257.57
2022 07 10 11	0.131	286.78
2022 07 10 12	0.16	310.71
2022 07 10 13	0.193	327.46
2022 07 10 14	0.211	339.5
2022 07 10 15	0.209	350.08
2022 07 10 16	0.184	0.62
2022 07 10 17	0.14	12.35
2022 07 10 18	0.083	27.18
2022 07 10 19	0.029	63.43
2022 07 10 20	0.032	176.42
2022 07 10 21	0.056	206.11
2022 07 10 22	0.06	229.7
2022 07 10 23	0.052	268.89
2022 07 11 00	0.064	321.89
2022 07 11 01	0.109	350.53
2022 07 11 02	0.152	5.63
2022 07 11 03	0.166	17.45
2022 07 11 04	0.153	31.92
2022 07 11 05	0.123	53.87
2022 07 11 06	0.106	87.83
2022 07 11 07	0.11	120.96
2022 07 11 08	0.122	142.94
2022 07 11 09	0.124	156.31
2022 07 11 10	0.109	165.2
2022 07 11 11	0.075	167.06
2022 07 11 12	0.03	150.01
2022 07 11 13	0.036	34.99
2022 07 11 14	0.092	21.57
2022 07 11 15	0.141	21.5
2022 07 11 16	0.168	24.89
2022 07 11 17	0.165	32.15
2022 07 11 18	0.134	44.39
2022 07 11 19	0.101	68.72
2022 07 11 20	0.092	102.52
2022 07 11 21	0.104	124.9
2022 07 11 22	0.113	133.93
2022 07 11 23	0.11	133.53
2022 07 12 00	0.098	119.16
2022 07 12 01	0.097	92.95
2022 07 12 02	0.119	69.44
2022 07 12 03	0.153	56.92
2022 07 12 04	0.177	54.61
2022 07 12 05	0.18	60.01
2022 07 12 06	0.164	75.54
2022 07 12 07	0.152	99.03
2022 07 12 08	0.153	121.41
2022 07 12 09	0.151	136.07
2022 07 12 10	0.135	145.49
2022 07 12 11	0.107	147.48
2022 07 12 12	0.074	135.54
2022 07 12 13	0.063	92.72
2022 07 12 14	0.094	60.17
2022 07 12 15	0.138	48.5
2022 07 12 16	0.173	47.1
2022 07 12 17	0.183	50.75
2022 07 12 18	0.17	61.17
2022 07 12 19	0.144	77.6
2022 07 12 20	0.128	99.38
2022 07 12 21	0.122	119.28
2022 07 12 22	0.116	131.18
2022 07 12 23	0.112	132.47
2022 07 13 00	0.099	118.88
2022 07 13 01	0.113	96.06
2022 07 13 02	0.134	78.85
2022 07 13 03	0.156	65.88
2022 07 13 04	0.177	53.71
2022 07 13 05	0.19	45.42
2022 07 13 06	0.184	43.02
2022 07 13 07	0.158	47.04
2022 07 13 08	0.12	61.73
2022 07 13 09	0.093	90.61
2022 07 13 10	0.092	123.51
2022 07 13 11	0.104	139.27
2022 07 13 12	0.099	136.21
2022 07 13 13	0.077	121.21
2022 07 13 14	0.061	87.18
2022 07 13 15	0.074	48.81
2022 07 13 16	0.107	28.95
2022 07 13 17	0.142	23.14
2022 07 13 18	0.16	25.44
2022 07 13 19	0.146	31.29
2022 07 13 20	0.104	42.67
2022 07 13 21	0.062	72.42
2022 07 13 22	0.052	119.47
2022 07 13 23	0.057	143.53
2022 07 14 00	0.053	140.33
2022 07 14 01	0.051	115.08
2022 07 14 02	0.063	87.27
2022 07 14 03	0.083	71.78
2022 07 14 04	0.102	66.94
2022 07 14 05	0.114	63.65
2022 07 14 06	0.123	62.6
2022 07 14 07	0.121	68.72
2022 07 14 08	0.11	83.25
2022 07 14 09	0.1	106.8
2022 07 14 10	0.101	131.82
2022 07 14 11	0.104	147.06
2022 07 14 12	0.094	152.35
2022 07 14 13	0.069	146.76
2022 07 14 14	0.043	111.8
2022 07 14 15	0.053	59.58
2022 07 14 16	0.078	37.74
2022 07 14 17	0.101	27.57
2022 07 14 18	0.123	24.48
2022 07 14 19	0.135	25.42
2022 07 14 20	0.126	33.69
2022 07 14 21	0.089	52.23
2022 07 14 22	0.05	101.3
2022 07 14 23	0.056	161.56
2022 07 15 00	0.062	171.74
2022 07 15 01	0.046	157.28
2022 07 15 02	0.025	108.43
2022 07 15 03	0.039	25.27
2022 07 15 04	0.09	358.09
2022 07 15 05	0.132	347.75
2022 07 15 06	0.158	344.64
2022 07 15 07	0.177	348.31
2022 07 15 08	0.17	352.24
2022 07 15 09	0.129	351.11
2022 07 15 10	0.069	338.96
2022 07 15 11	0.039	286.14
2022 07 15 12	0.057	255.96
2022 07 15 13	0.084	268.63
2022 07 15 14	0.124	292.22
2022 07 15 15	0.184	310.16
2022 07 15 16	0.246	322.43
2022 07 15 17	0.285	332.26
2022 07 15 18	0.304	342.21
2022 07 15 19	0.297	349.74
2022 07 15 20	0.267	352.47
2022 07 15 21	0.224	352.59
2022 07 15 22	0.166	355.86
2022 07 15 23	0.096	352.87
2022 07 16 00	0.039	300.46
2022 07 16 01	0.06	243.43
2022 07 16 02	0.066	257.0
2022 07 16 03	0.069	296.56
2022 07 16 04	0.098	332.13
2022 07 16 05	0.135	351.09
2022 07 16 06	0.157	4.37
2022 07 16 07	0.153	17.84
2022 07 16 08	0.133	34.64
2022 07 16 09	0.11	57.6
2022 07 16 10	0.09	88.09
2022 07 16 11	0.085	124.99
2022 07 16 12	0.097	153.95
2022 07 16 13	0.102	168.14
2022 07 16 14	0.084	171.86
2022 07 16 15	0.05	153.94
2022 07 16 16	0.047	83.92
2022 07 16 17	0.096	56.8
2022 07 16 18	0.146	54.14
2022 07 16 19	0.181	58.76
2022 07 16 20	0.197	66.15
2022 07 16 21	0.199	74.92
2022 07 16 22	0.185	84.74
2022 07 16 23	0.171	97.04
2022 07 17 00	0.17	110.55
2022 07 17 01	0.174	121.41
2022 07 17 02	0.176	125.31
2022 07 17 03	0.173	120.39
2022 07 17 04	0.177	110.78
2022 07 17 05	0.191	102.65
2022 07 17 06	0.206	100.32
2022 07 17 07	0.204	100.15
2022 07 17 08	0.184	97.16
2022 07 17 09	0.157	91.09
2022 07 17 10	0.131	86.94
2022 07 17 11	0.107	91.6
2022 07 17 12	0.084	103.7
2022 07 17 13	0.074	113.8
2022 07 17 14	0.076	112.21
2022 07 17 15	0.083	99.0
2022 07 17 16	0.099	81.95
2022 07 17 17	0.126	72.56
2022 07 17 18	0.152	68.82
2022 07 17 19	0.172	67.89
2022 07 17 20	0.187	69.44
2022 07 17 21	0.207	75.76
2022 07 17 22	0.22	86.35
2022 07 17 23	0.232	99.66
2022 07 18 00	0.251	113.19
2022 07 18 01	0.282	122.28
2022 07 18 02	0.318	126.43
2022 07 18 03	0.346	126.9
2022 07 18 04	0.357	126.22
2022 07 18 05	0.347	124.33
2022 07 18 06	0.312	120.83
2022 07 18 07	0.267	115.22
2022 07 18 08	0.232	107.03
2022 07 18 09	0.216	98.76
2022 07 18 10	0.221	95.17
2022 07 18 11	0.238	98.43
2022 07 18 12	0.264	105.82
2022 07 18 13	0.298	112.69
2022 07 18 14	0.339	117.31
2022 07 18 15	0.374	119.23
2022 07 18 16	0.374	119.23
2022 07 18 17	0.346	118.41
2022 07 18 18	0.299	115.7
2022 07 18 19	0.263	109.74
2022 07 18 20	0.229	100.28
2022 07 18 21	0.229	89.49
2022 07 18 22	0.244	83.65
2022 07 18 23	0.253	85.48
2022 07 19 00	0.266	92.79
2022 07 19 01	0.28	101.51
2022 07 19 02	0.289	108.93
2022 07 19 03	0.291	113.66
2022 07 19 04	0.286	114.77
2022 07 19 05	0.27	112.58
2022 07 19 06	0.246	107.92
2022 07 19 07	0.217	103.58
2022 07 19 08	0.185	99.3
2022 07 19 09	0.159	96.85
2022 07 19 10	0.141	96.47
2022 07 19 11	0.133	99.46
2022 07 19 12	0.133	106.53
2022 07 19 13	0.144	114.96
2022 07 19 14	0.162	121.93
2022 07 19 15	0.181	126.93
2022 07 19 16	0.195	129.8
2022 07 19 17	0.212	132.7
2022 07 19 18	0.234	136.55
2022 07 19 19	0.232	137.95
2022 07 19 20	0.213	140.5
2022 07 19 21	0.18	146.74
2022 07 19 22	0.136	152.49
2022 07 19 23	0.091	148.92
2022 07 20 00	0.113	112.27
2022 07 20 01	0.14	108.3
2022 07 20 02	0.185	110.48
2022 07 20 03	0.24	113.04
2022 07 20 04	0.295	113.7
2022 07 20 05	0.341	112.36
2022 07 20 06	0.374	110.66
2022 07 20 07	0.393	110.82
2022 07 20 08	0.391	113.48
2022 07 20 09	0.368	117.25
2022 07 20 10	0.33	120.75
2022 07 20 11	0.282	122.28
2022 07 20 12	0.236	122.21
2022 07 20 13	0.203	121.1
2022 07 20 14	0.19	120.34
2022 07 20 15	0.192	120.29
2022 07 20 16	0.204	119.57
2022 07 20 17	0.213	117.88
2022 07 20 18	0.212	115.11
2022 07 20 19	0.195	108.8
2022 07 20 20	0.178	97.08
2022 07 20 21	0.173	83.36
2022 07 20 22	0.175	71.04
2022 07 20 23	0.182	62.87
2022 07 21 00	0.185	60.67
2022 07 21 01	0.184	63.57
2022 07 21 02	0.175	72.39
2022 07 21 03	0.168	84.22
2022 07 21 04	0.168	94.76
2022 07 21 05	0.169	101.24
2022 07 21 06	0.164	102.6
2022 07 21 07	0.157	99.52
2022 07 21 08	0.148	94.63
2022 07 21 09	0.139	88.35
2022 07 21 10	0.129	79.73
2022 07 21 11	0.12	68.55
2022 07 21 12	0.115	55.89
2022 07 21 13	0.118	46.71
2022 07 21 14	0.117	43.61
2022 07 21 15	0.113	46.43
2022 07 21 16	0.103	51.25
2022 07 21 17	0.095	55.64
2022 07 21 18	0.093	53.25
2022 07 21 19	0.097	49.14
2022 07 21 20	0.109	48.32
2022 07 21 21	0.119	48.04
2022 07 21 22	0.123	46.31
2022 07 21 23	0.122	43.34
2022 07 22 00	0.118	44.65
2022 07 22 01	0.104	49.27
2022 07 22 02	0.08	59.28
2022 07 22 03	0.052	80.18
2022 07 22 04	0.036	130.6
2022 07 22 05	0.053	186.45
2022 07 22 06	0.073	210.03
2022 07 22 07	0.078	224.48
2022 07 22 08	0.077	240.43
2022 07 22 09	0.077	258.83
2022 07 22 10	0.079	274.34
2022 07 22 11	0.08	285.06
2022 07 22 12	0.08	297.52
2022 07 22 13	0.077	307.61
2022 07 22 14	0.069	313.83
2022 07 22 15	0.055	317.17
2022 07 22 16	0.039	312.95
2022 07 22 17	0.03	293.19
2022 07 22 18	0.035	279.72
2022 07 22 19	0.048	289.17
2022 07 22 20	0.065	303.2
2022 07 22 21	0.084	313.55
2022 07 22 22	0.1	321.87
2022 07 22 23	0.112	331.83
2022 07 23 00	0.121	340.21
2022 07 23 01	0.126	346.73
2022 07 23 02	0.126	350.9
2022 07 23 03	0.117	352.14
2022 07 23 04	0.105	350.18
2022 07 23 05	0.097	342.12
2022 07 23 06	0.098	330.03
2022 07 23 07	0.111	315.72
2022 07 23 08	0.127	303.19
2022 07 23 09	0.141	294.57
2022 07 23 10	0.156	294.59
2022 07 23 11	0.179	295.42
2022 07 23 12	0.205	298.18
2022 07 23 13	0.226	303.83
2022 07 23 14	0.24	311.11
2022 07 23 15	0.249	317.1
2022 07 23 16	0.248	320.87
2022 07 23 17	0.239	322.65
2022 07 23 18	0.229	322.62
2022 07 23 19	0.221	322.71
2022 07 23 20	0.212	324.58
2022 07 23 21	0.2	327.02
2022 07 23 22	0.181	328.06
2022 07 23 23	0.16	327.2
2022 07 24 00	0.142	326.75
2022 07 24 01	0.133	325.35
2022 07 24 02	0.136	321.86
2022 07 24 03	0.138	321.46
2022 07 24 04	0.135	320.68
2022 07 24 05	0.137	315.59
2022 07 24 06	0.138	307.36
2022 07 24 07	0.136	300.31
2022 07 24 08	0.133	295.22
2022 07 24 09	0.122	291.97
2022 07 24 10	0.111	288.27
2022 07 24 11	0.101	281.42
2022 07 24 12	0.101	269.43
2022 07 24 13	0.116	261.59
2022 07 24 14	0.14	261.4
2022 07 24 15	0.16	266.78
2022 07 24 16	0.158	275.78
2022 07 24 17	0.146	286.69
2022 07 24 18	0.115	291.89
2022 07 24 19	0.071	294.04
2022 07 24 20	0.032	271.78
2022 07 24 21	0.047	188.47
2022 07 24 22	0.097	173.53
2022 07 24 23	0.12	174.28
2022 07 25 00	0.106	189.19
2022 07 25 01	0.091	225.44
2022 07 25 02	0.112	264.89
2022 07 25 03	0.148	288.43
2022 07 25 04	0.165	303.69
2022 07 25 05	0.157	318.09
2022 07 25 06	0.135	335.13
2022 07 25 07	0.111	355.36
2022 07 25 08	0.092	22.95
2022 07 25 09	0.082	59.39
2022 07 25 10	0.11	96.22
2022 07 25 11	0.156	115.74
2022 07 25 12	0.185	125.57
2022 07 25 13	0.176	132.92
2022 07 25 14	0.136	138.26
2022 07 25 15	0.077	140.76
2022 07 25 16	0.023	115.46
2022 07 25 17	0.032	37.56
2022 07 25 18	0.058	55.49
2022 07 25 19	0.096	76.25
2022 07 25 20	0.133	91.29
2022 07 25 21	0.149	101.15
2022 07 25 22	0.142	104.23
2022 07 25 23	0.115	101.01
2022 07 26 00	0.089	91.28
2022 07 26 01	0.073	76.71
2022 07 26 02	0.069	59.74
2022 07 26 03	0.075	48.74
2022 07 26 04	0.088	45.45
2022 07 26 05	0.101	52.22
2022 07 26 06	0.112	69.14
2022 07 26 07	0.13	90.44
2022 07 26 08	0.146	108.68
2022 07 26 09	0.14	125.72
2022 07 26 10	0.109	145.43
2022 07 26 11	0.066	173.08
2022 07 26 12	0.031	232.76
2022 07 26 13	0.048	320.04
2022 07 26 14	0.087	350.75
2022 07 26 15	0.127	6.29
2022 07 26 16	0.16	16.28
2022 07 26 17	0.174	26.85
2022 07 26 18	0.166	40.37
2022 07 26 19	0.146	60.64
2022 07 26 20	0.138	85.03
2022 07 26 21	0.137	106.85
2022 07 26 22	0.134	121.32
2022 07 26 23	0.113	131.42
2022 07 27 00	0.067	151.52
2022 07 27 01	0.04	140.01
2022 07 27 02	0.035	93.27
2022 07 27 03	0.06	66.42
2022 07 27 04	0.087	59.93
2022 07 27 05	0.106	59.58
2022 07 27 06	0.114	63.65
2022 07 27 07	0.111	72.7
2022 07 27 08	0.104	87.24
2022 07 27 09	0.093	106.69
2022 07 27 10	0.08	128.43
2022 07 27 11	0.061	155.09
2022 07 27 12	0.048	189.46
2022 07 27 13	0.041	224.99
2022 07 27 14	0.034	268.31
2022 07 27 15	0.038	311.87
2022 07 27 16	0.054	332.48
2022 07 27 17	0.071	339.53
2022 07 27 18	0.086	349.33
2022 07 27 19	0.089	7.04
2022 07 27 20	0.078	34.09
2022 07 27 21	0.068	70.23
2022 07 27 22	0.064	102.52
2022 07 27 23	0.047	129.03
2022 07 28 00	0.028	161.56
2022 07 28 01	0.019	197.52
2022 07 28 02	0.004	284.03
2022 07 28 03	0.02	29.05
2022 07 28 04	0.04	36.02
2022 07 28 05	0.062	39.8
2022 07 28 06	0.083	46.94
2022 07 28 07	0.091	58.39
2022 07 28 08	0.093	77.0
2022 07 28 09	0.09	104.03
2022 07 28 10	0.092	137.18
2022 07 28 11	0.105	171.25
2022 07 28 12	0.128	198.15
2022 07 28 13	0.142	219.28
2022 07 28 14	0.134	239.25
2022 07 28 15	0.128	264.2
2022 07 28 16	0.133	289.24
2022 07 28 17	0.137	314.99
2022 07 28 18	0.147	342.18
2022 07 28 19	0.151	6.04
2022 07 28 20	0.138	33.8
2022 07 28 21	0.127	68.28
2022 07 28 22	0.132	96.91
2022 07 28 23	0.143	119.59
2022 07 29 00	0.151	136.07
2022 07 29 01	0.148	147.91
2022 07 29 02	0.138	157.89
2022 07 29 03	0.112	169.28
2022 07 29 04	0.068	183.36
2022 07 29 05	0.008	206.56
2022 07 29 06	0.047	23.83
2022 07 29 07	0.089	44.09
2022 07 29 08	0.122	68.45
2022 07 29 09	0.154	94.08
2022 07 29 10	0.189	116.02
2022 07 29 11	0.213	132.72
2022 07 29 12	0.228	144.78
2022 07 29 13	0.227	152.53
2022 07 29 14	0.218	158.83
2022 07 29 15	0.201	164.71
2022 07 29 16	0.167	170.03
2022 07 29 17	0.117	172.14
2022 07 29 18	0.055	157.61
2022 07 29 19	0.054	84.7
2022 07 29 20	0.103	74.89
2022 07 29 21	0.134	87.0
2022 07 29 22	0.151	101.45
2022 07 29 23	0.153	113.39
2022 07 30 00	0.146	119.89
2022 07 30 01	0.132	120.81
2022 07 30 02	0.12	117.62
2022 07 30 03	0.111	111.03
2022 07 30 04	0.108	101.2
2022 07 30 05	0.112	90.0
2022 07 30 06	0.126	81.8
2022 07 30 07	0.145	80.53
2022 07 30 08	0.159	88.19
2022 07 30 09	0.158	104.65
2022 07 30 10	0.149	129.31
2022 07 30 11	0.141	154.51
2022 07 30 12	0.131	180.43
2022 07 30 13	0.109	209.61
2022 07 30 14	0.087	243.43
2022 07 30 15	0.094	282.85
2022 07 30 16	0.128	309.63
2022 07 30 17	0.167	324.97
2022 07 30 18	0.2	336.5
2022 07 30 19	0.223	347.08
2022 07 30 20	0.222	356.9
2022 07 30 21	0.196	5.53
2022 07 30 22	0.156	11.45
2022 07 30 23	0.114	10.03
2022 07 31 00	0.087	355.39
2022 07 31 01	0.085	335.22
2022 07 31 02	0.103	323.24
2022 07 31 03	0.123	319.6
2022 07 31 04	0.136	318.26
2022 07 31 05	0.151	317.67
2022 07 31 06	0.169	321.7
2022 07 31 07	0.189	329.24
2022 07 31 08	0.204	335.44
2022 07 31 09	0.195	338.68
2022 07 31 10	0.168	336.62
2022 07 31 11	0.145	327.61
2022 07 31 12	0.144	312.75
2022 07 31 13	0.167	302.07
2022 07 31 14	0.188	299.14
2022 07 31 15	0.203	300.47
2022 07 31 16	0.213	302.94
2022 07 31 17	0.228	305.56
2022 07 31 18	0.249	310.12
2022 07 31 19	0.271	316.49
2022 07 31 20	0.291	323.09
2022 07 31 21	0.291	328.16
2022 07 31 22	0.272	330.51
2022 07 31 23	0.242	330.04
2022 08 01 00	0.21	328.57
2022 08 01 01	0.183	325.18
2022 08 01 02	0.17	324.54
2022 08 01 03	0.149	324.81
2022 08 01 04	0.123	321.92
2022 08 01 05	0.109	311.67
2022 08 01 06	0.119	305.14
2022 08 01 07	0.148	306.79
2022 08 01 08	0.181	313.88
2022 08 01 09	0.198	319.49
2022 08 01 10	0.196	321.61
2022 08 01 11	0.185	318.49
2022 08 01 12	0.18	310.04
2022 08 01 13	0.189	301.58
2022 08 01 14	0.207	297.18
2022 08 01 15	0.223	299.42
2022 08 01 16	0.225	304.53
2022 08 01 17	0.219	307.96
2022 08 01 18	0.216	307.66
2022 08 01 19	0.225	307.42
2022 08 01 20	0.245	310.7
2022 08 01 21	0.257	315.62
2022 08 01 22	0.243	320.49
2022 08 01 23	0.21	323.29
2022 08 02 00	0.179	322.93
2022 08 02 01	0.164	318.45
2022 08 02 02	0.17	312.38
2022 08 02 03	0.186	309.76
2022 08 02 04	0.193	310.18
2022 08 02 05	0.193	313.53
2022 08 02 06	0.179	315.9
2022 08 02 07	0.177	316.59
2022 08 02 08	0.187	318.23
2022 08 02 09	0.202	321.2
2022 08 02 10	0.21	323.89
2022 08 02 11	0.198	324.62
2022 08 02 12	0.17	322.39
2022 08 02 13	0.148	318.55
2022 08 02 14	0.141	317.86
2022 08 02 15	0.146	319.44
2022 08 02 16	0.149	322.89
2022 08 02 17	0.141	328.89
2022 08 02 18	0.125	339.39
2022 08 02 19	0.11	351.13
2022 08 02 20	0.103	359.44
2022 08 02 21	0.104	4.39
2022 08 02 22	0.109	12.64
2022 08 02 23	0.111	27.71
2022 08 03 00	0.088	23.96
2022 08 03 01	0.055	26.56
2022 08 03 02	0.02	357.13
2022 08 03 03	0.042	243.43
2022 08 03 04	0.099	231.51
2022 08 03 05	0.141	235.63
2022 08 03 06	0.158	251.56
2022 08 03 07	0.172	272.99
2022 08 03 08	0.19	290.62
2022 08 03 09	0.196	304.82
2022 08 03 10	0.184	317.41
2022 08 03 11	0.162	329.33
2022 08 03 12	0.133	338.03
2022 08 03 13	0.105	337.79
2022 08 03 14	0.077	322.83
2022 08 03 15	0.066	284.87
2022 08 03 16	0.085	255.15
2022 08 03 17	0.114	248.38
2022 08 03 18	0.139	258.44
2022 08 03 19	0.166	275.5
2022 08 03 20	0.191	289.47
2022 08 03 21	0.206	303.92
2022 08 03 22	0.214	320.29
2022 08 03 23	0.215	334.38
2022 08 04 00	0.19	344.79
2022 08 04 01	0.142	353.12
2022 08 04 02	0.084	6.11
2022 08 04 03	0.044	44.09
2022 08 04 04	0.044	95.19
2022 08 04 05	0.048	114.44
2022 08 04 06	0.035	122.34
2022 08 04 07	0.009	113.96
2022 08 04 08	0.021	338.19
2022 08 04 09	0.054	340.55
2022 08 04 10	0.08	349.95
2022 08 04 11	0.089	0.64
2022 08 04 12	0.072	12.69
2022 08 04 13	0.033	32.73
2022 08 04 14	0.024	180.0
2022 08 04 15	0.073	210.03
2022 08 04 16	0.116	228.81
2022 08 04 17	0.143	247.9
2022 08 04 18	0.163	268.24
2022 08 04 19	0.181	286.94
2022 08 04 20	0.2	302.58
2022 08 04 21	0.218	313.7
2022 08 04 22	0.215	320.09
2022 08 04 23	0.196	327.28
2022 08 05 00	0.173	331.36
2022 08 05 01	0.143	330.4
2022 08 05 02	0.109	326.6
2022 08 05 03	0.083	317.91
2022 08 05 04	0.081	307.01
2022 08 05 05	0.091	306.99
2022 08 05 06	0.102	315.39
2022 08 05 07	0.113	326.16
2022 08 05 08	0.125	336.92
2022 08 05 09	0.141	344.38
2022 08 05 10	0.158	348.69
2022 08 05 11	0.165	345.29
2022 08 05 12	0.162	329.64
2022 08 05 13	0.172	308.65
2022 08 05 14	0.198	297.34
2022 08 05 15	0.213	293.44
2022 08 05 16	0.224	292.56
2022 08 05 17	0.235	295.36
2022 08 05 18	0.246	299.37
2022 08 05 19	0.257	303.13
2022 08 05 20	0.27	305.8
2022 08 05 21	0.295	307.84
2022 08 05 22	0.328	309.8
2022 08 05 23	0.353	312.59
2022 08 06 00	0.358	316.46
