Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2020 06 28 23	0.23	118.6
2020 06 29 00	0.192	112.98
2020 06 29 01	0.17	105.3
2020 06 29 02	0.172	101.35
2020 06 29 03	0.192	105.95
2020 06 29 04	0.221	114.46
2020 06 29 05	0.247	121.96
2020 06 29 06	0.254	127.22
2020 06 29 07	0.237	130.11
2020 06 29 08	0.202	131.05
2020 06 29 09	0.156	129.34
2020 06 29 10	0.109	125.02
2020 06 29 11	0.07	111.81
2020 06 29 12	0.044	82.34
2020 06 29 13	0.043	48.12
2020 06 29 14	0.049	36.29
2020 06 29 15	0.05	42.87
2020 06 29 16	0.044	63.55
2020 06 29 17	0.041	94.1
2020 06 29 18	0.038	115.85
2020 06 29 19	0.025	115.58
2020 06 29 20	0.017	40.58
2020 06 29 21	0.049	7.14
2020 06 29 22	0.082	9.9
2020 06 29 23	0.108	15.03
2020 06 30 00	0.125	22.18
2020 06 30 01	0.13	29.07
2020 06 30 02	0.125	37.41
2020 06 30 03	0.116	49.37
2020 06 30 04	0.105	65.99
2020 06 30 05	0.095	85.83
2020 06 30 06	0.092	108.27
2020 06 30 07	0.098	134.29
2020 06 30 08	0.115	157.78
2020 06 30 09	0.125	175.98
2020 06 30 10	0.123	195.1
2020 06 30 11	0.112	221.07
2020 06 30 12	0.113	254.62
2020 06 30 13	0.134	281.56
2020 06 30 14	0.16	299.93
2020 06 30 15	0.173	311.98
2020 06 30 16	0.174	320.14
2020 06 30 17	0.166	324.34
2020 06 30 18	0.159	325.54
2020 06 30 19	0.158	326.82
2020 06 30 20	0.164	332.49
2020 06 30 21	0.167	342.95
2020 06 30 22	0.156	356.71
2020 06 30 23	0.132	11.79
2020 07 01 00	0.1	29.79
2020 07 01 01	0.077	47.98
2020 07 01 02	0.06	64.72
2020 07 01 03	0.049	77.45
2020 07 01 04	0.041	86.04
2020 07 01 05	0.035	101.45
2020 07 01 06	0.04	140.3
2020 07 01 07	0.076	173.44
2020 07 01 08	0.12	190.15
2020 07 01 09	0.147	202.0
2020 07 01 10	0.151	214.87
2020 07 01 11	0.138	231.58
2020 07 01 12	0.125	253.77
2020 07 01 13	0.117	275.33
2020 07 01 14	0.106	298.7
2020 07 01 15	0.092	325.63
2020 07 01 16	0.08	357.87
2020 07 01 17	0.073	33.83
2020 07 01 18	0.075	70.46
2020 07 01 19	0.082	106.88
2020 07 01 20	0.107	138.87
2020 07 01 21	0.141	157.32
2020 07 01 22	0.153	164.97
2020 07 01 23	0.121	168.74
2020 07 02 00	0.07	249.25
2020 07 02 01	0.061	281.46
2020 07 02 02	0.059	318.45
2020 07 02 03	0.067	351.27
2020 07 02 04	0.066	16.41
2020 07 02 05	0.055	45.68
