Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 07 02 03	34.975
2020 07 02 04	34.975
2020 07 02 05	34.975
2020 07 02 06	34.975
2020 07 02 07	34.975
2020 07 02 08	34.975
2020 07 02 09	34.975
2020 07 02 10	34.975
2020 07 02 11	34.975
2020 07 02 12	34.975
2020 07 02 13	34.975
2020 07 02 14	34.975
2020 07 02 15	34.975
2020 07 02 16	34.975
2020 07 02 17	34.975
2020 07 02 18	34.975
2020 07 02 19	34.975
2020 07 02 20	34.975
2020 07 02 21	34.975
2020 07 02 22	34.975
2020 07 02 23	34.975
2020 07 03 00	34.941
2020 07 03 01	34.941
2020 07 03 02	34.941
2020 07 03 03	34.941
2020 07 03 04	34.941
2020 07 03 05	34.941
2020 07 03 06	34.941
2020 07 03 07	34.941
2020 07 03 08	34.941
2020 07 03 09	34.941
2020 07 03 10	34.941
2020 07 03 11	34.941
2020 07 03 12	34.941
2020 07 03 13	34.941
2020 07 03 14	34.941
2020 07 03 15	34.941
2020 07 03 16	34.941
2020 07 03 17	34.941
2020 07 03 18	34.941
2020 07 03 19	34.941
2020 07 03 20	34.941
2020 07 03 21	34.941
2020 07 03 22	34.941
2020 07 03 23	34.941
2020 07 04 00	34.825
2020 07 04 01	34.825
2020 07 04 02	34.825
2020 07 04 03	34.825
2020 07 04 04	34.825
2020 07 04 05	34.825
2020 07 04 06	34.825
2020 07 04 07	34.825
2020 07 04 08	34.825
2020 07 04 09	34.825
2020 07 04 10	34.825
2020 07 04 11	34.825
2020 07 04 12	34.825
2020 07 04 13	34.825
2020 07 04 14	34.825
2020 07 04 15	34.825
2020 07 04 16	34.825
2020 07 04 17	34.825
2020 07 04 18	34.825
2020 07 04 19	34.825
2020 07 04 20	34.825
2020 07 04 21	34.825
2020 07 04 22	34.825
2020 07 04 23	34.825
2020 07 05 00	34.68
2020 07 05 01	34.68
2020 07 05 02	34.68
2020 07 05 03	34.68
2020 07 05 04	34.68
2020 07 05 05	34.68
2020 07 05 06	34.68
2020 07 05 07	34.68
2020 07 05 08	34.68
2020 07 05 09	34.68
2020 07 05 10	34.68
2020 07 05 11	34.68
2020 07 05 12	34.68
2020 07 05 13	34.68
2020 07 05 14	34.68
2020 07 05 15	34.68
2020 07 05 16	34.68
2020 07 05 17	34.68
2020 07 05 18	34.68
2020 07 05 19	34.68
2020 07 05 20	34.68
2020 07 05 21	34.68
2020 07 05 22	34.68
2020 07 05 23	34.68
2020 07 06 00	34.755
2020 07 06 01	34.755
2020 07 06 02	34.755
2020 07 06 03	34.755
2020 07 06 04	34.755
2020 07 06 05	34.755
2020 07 06 06	34.755
2020 07 06 07	34.755
2020 07 06 08	34.755
2020 07 06 09	34.755
2020 07 06 10	34.755
2020 07 06 11	34.755
2020 07 06 12	34.755
2020 07 06 13	34.755
2020 07 06 14	34.755
2020 07 06 15	34.755
2020 07 06 16	34.755
2020 07 06 17	34.755
2020 07 06 18	34.755
2020 07 06 19	34.755
2020 07 06 20	34.755
2020 07 06 21	34.755
2020 07 06 22	34.755
2020 07 06 23	34.755
2020 07 07 00	35.015
2020 07 07 01	35.015
2020 07 07 02	35.015
2020 07 07 03	35.015
2020 07 07 04	35.015
2020 07 07 05	35.015
2020 07 07 06	35.015
2020 07 07 07	35.015
2020 07 07 08	35.015
2020 07 07 09	35.015
2020 07 07 10	35.015
2020 07 07 11	35.015
2020 07 07 12	35.015
2020 07 07 13	35.015
2020 07 07 14	35.015
2020 07 07 15	35.015
2020 07 07 16	35.015
2020 07 07 17	35.015
2020 07 07 18	35.015
2020 07 07 19	35.015
2020 07 07 20	35.015
2020 07 07 21	35.015
2020 07 07 22	35.015
2020 07 07 23	35.015
2020 07 08 00	35.178
2020 07 08 01	35.178
2020 07 08 02	35.178
2020 07 08 03	35.178
2020 07 08 04	35.178
2020 07 08 05	35.178
2020 07 08 06	35.178
2020 07 08 07	35.178
2020 07 08 08	35.178
2020 07 08 09	35.178
2020 07 08 10	35.178
2020 07 08 11	35.178
2020 07 08 12	35.178
2020 07 08 13	35.178
2020 07 08 14	35.178
2020 07 08 15	35.178
2020 07 08 16	35.178
2020 07 08 17	35.178
2020 07 08 18	35.178
2020 07 08 19	35.178
2020 07 08 20	35.178
2020 07 08 21	35.178
2020 07 08 22	35.178
2020 07 08 23	35.178
2020 07 09 00	35.014
2020 07 09 01	35.014
2020 07 09 02	35.014
2020 07 09 03	35.014
2020 07 09 04	35.014
2020 07 09 05	35.014
2020 07 09 06	35.014
2020 07 09 07	35.014
2020 07 09 08	35.014
2020 07 09 09	35.014
2020 07 09 10	35.014
2020 07 09 11	35.014
2020 07 09 12	35.014
2020 07 09 13	35.014
2020 07 09 14	35.014
