Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2020 06 24 13	1.1	4.77	12.11	338	0.33	300	0.82	11.33	346	0.36	7.66	313
2020 06 24 14	1.12	5.04	12.11	339	0.25	297	0.94	10.58	341	0.44	3.37	311
2020 06 24 15	1.2	4.87	12.11	337	0.54	301	0.99	10.65	341	0.3	4.12	44
2020 06 24 16	1.24	5.05	12.11	337	0.54	308	1.04	10.93	342	0.25	4.77	320
2020 06 24 17	1.28	5.39	12.11	337	0.21	279	1.08	11.09	343	0.59	3.49	311
2020 06 24 18	1.29	5.95	13.32	338	0.07	243	1.11	11.19	343	0.58	3.36	310
2020 06 24 19	1.27	6.34	13.32	340	0.28	316	1.14	11.25	343	0.41	4.4	306
2020 06 24 20	1.29	6.34	13.32	340	0.07	275	1.17	11.29	343	0.48	3.22	310
2020 06 24 21	1.28	6.6	13.32	341	0.0	180	1.19	11.18	343	0.42	2.91	311
2020 06 24 22	1.27	6.82	13.32	342	0.11	285	1.2	11.13	343	0.32	3.08	312
2020 06 24 23	1.27	7.01	13.32	342	0.07	273	1.2	11.08	343	0.31	2.78	314
2020 06 25 00	1.26	7.45	13.32	342	0.0	180	1.2	11.06	342	0.19	3.19	38
2020 06 25 01	1.24	7.9	13.32	342	0.0	180	1.2	11.03	342	0.17	3.62	39
2020 06 25 02	1.23	7.92	13.32	341	0.0	180	1.19	11.01	342	0.29	2.82	310
2020 06 25 03	1.24	7.43	13.32	340	0.0	180	1.17	11.0	342	0.36	2.97	310
2020 06 25 04	1.23	7.07	13.32	339	0.06	278	1.16	10.94	342	0.39	3.14	311
2020 06 25 05	1.22	6.8	13.32	339	0.0	180	1.14	10.93	342	0.42	2.99	311
2020 06 25 06	1.23	6.12	13.32	337	0.33	302	1.11	10.96	341	0.37	3.86	317
2020 06 25 07	1.29	5.36	13.32	333	0.48	302	1.08	11.06	342	0.5	4.31	318
2020 06 25 08	1.3	5.28	12.11	332	0.48	305	1.06	10.97	341	0.55	4.61	317
2020 06 25 09	1.3	5.03	12.11	331	0.71	308	1.04	10.9	341	0.27	5.84	325
2020 06 25 10	1.31	4.83	12.11	330	0.75	309	1.02	10.84	341	0.21	5.75	332
2020 06 25 11	1.27	4.93	12.11	330	0.47	303	1.0	10.77	340	0.55	4.15	314
2020 06 25 12	1.25	4.8	12.11	329	0.63	309	0.98	10.71	340	0.39	5.5	312
2020 06 25 13	1.24	4.71	12.11	329	0.58	309	0.96	10.65	340	0.48	5.1	310
2020 06 25 14	1.28	4.45	12.11	326	0.83	308	0.94	10.57	339	0.14	6.21	326
2020 06 25 15	1.29	4.49	12.11	325	0.64	300	0.92	10.48	339	0.63	4.3	322
2020 06 25 16	1.31	4.55	12.11	326	0.95	314	0.89	10.5	339	0.08	5.83	280
2020 06 25 17	1.14	5.09	12.11	330	0.09	298	0.89	10.29	338	0.71	3.64	316
2020 06 25 18	1.08	5.32	12.11	330	0.05	276	0.87	10.2	338	0.54	3.73	323
2020 06 25 19	1.09	4.89	12.11	329	0.41	303	0.64	11.43	349	0.56	8.91	323
2020 06 25 20	1.11	4.63	11.01	327	0.49	306	0.76	9.58	332	0.36	12.43	357
2020 06 25 21	1.12	4.32	11.01	326	0.68	307	0.87	8.97	336	0.09	4.02	349
2020 06 25 22	1.09	4.48	11.01	326	0.45	299	0.77	10.31	338	0.61	4.48	321
2020 06 25 23	1.04	4.78	11.01	328	0.28	294	0.76	10.24	338	0.65	4.3	319
2020 06 26 00	1.01	4.94	11.01	328	0.2	290	0.73	10.4	338	0.67	4.29	320
2020 06 26 01	0.99	5.23	11.01	329	0.0	180	0.71	10.34	338	0.68	3.89	319
2020 06 26 02	0.96	5.42	11.01	329	0.0	180	0.7	10.29	337	0.66	4.03	320
2020 06 26 03	0.94	5.54	11.01	330	0.0	180	0.68	10.24	337	0.64	4.12	321
2020 06 26 04	0.92	5.62	11.01	330	0.0	180	0.69	10.0	337	0.6	4.09	321
2020 06 26 05	0.9	5.67	11.01	330	0.0	180	0.68	9.95	336	0.59	4.12	321
2020 06 26 06	0.89	5.7	11.01	330	0.0	180	0.67	9.89	336	0.58	4.16	322
2020 06 26 07	0.87	5.69	11.01	330	0.0	180	0.66	9.84	336	0.57	4.16	323
2020 06 26 08	0.86	5.69	10.01	331	0.0	180	0.65	9.78	336	0.56	4.17	323
2020 06 26 09	0.85	5.72	10.01	331	0.0	180	0.65	9.6	335	0.54	4.13	325
2020 06 26 10	0.84	5.76	10.01	331	0.0	180	0.64	9.54	334	0.54	4.18	325
2020 06 26 11	0.83	5.81	10.01	331	0.0	180	0.63	9.49	334	0.53	4.24	326
