Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2020 07 15 19	19.723
2020 07 15 20	19.713
2020 07 15 21	19.694
2020 07 15 22	19.664
2020 07 15 23	19.626
2020 07 16 00	19.573
2020 07 16 01	19.523
2020 07 16 02	19.481
2020 07 16 03	19.44
2020 07 16 04	19.391
2020 07 16 05	19.337
2020 07 16 06	19.276
2020 07 16 07	19.241
2020 07 16 08	19.267
2020 07 16 09	19.353
2020 07 16 10	19.504
2020 07 16 11	19.706
2020 07 16 12	19.931
2020 07 16 13	20.152
2020 07 16 14	20.336
2020 07 16 15	20.447
2020 07 16 16	20.451
2020 07 16 17	20.365
2020 07 16 18	20.254
2020 07 16 19	20.117
2020 07 16 20	19.958
2020 07 16 21	19.815
2020 07 16 22	19.721
2020 07 16 23	19.677
2020 07 17 00	19.659
2020 07 17 01	19.647
2020 07 17 02	19.624
2020 07 17 03	19.58
2020 07 17 04	19.521
2020 07 17 05	19.446
2020 07 17 06	19.366
2020 07 17 07	19.289
2020 07 17 08	19.232
2020 07 17 09	19.22
2020 07 17 10	19.241
2020 07 17 11	19.261
2020 07 17 12	19.269
2020 07 17 13	19.275
2020 07 17 14	19.235
2020 07 17 15	19.155
2020 07 17 16	19.038
2020 07 17 17	18.902
2020 07 17 18	18.743
2020 07 17 19	18.53
2020 07 17 20	18.258
2020 07 17 21	17.923
2020 07 17 22	17.586
2020 07 17 23	17.347
2020 07 18 00	17.246
2020 07 18 01	17.254
2020 07 18 02	17.327
2020 07 18 03	17.423
2020 07 18 04	17.472
2020 07 18 05	17.478
2020 07 18 06	17.451
2020 07 18 07	17.384
2020 07 18 08	17.273
2020 07 18 09	17.108
2020 07 18 10	16.904
2020 07 18 11	16.765
2020 07 18 12	16.749
2020 07 18 13	16.845
2020 07 18 14	17.017
2020 07 18 15	17.185
2020 07 18 16	17.326
2020 07 18 17	17.396
2020 07 18 18	17.396
2020 07 18 19	17.334
2020 07 18 20	17.237
2020 07 18 21	17.121
2020 07 18 22	16.998
2020 07 18 23	16.876
2020 07 19 00	16.771
2020 07 19 01	16.722
2020 07 19 02	16.72
2020 07 19 03	16.744
2020 07 19 04	16.755
2020 07 19 05	16.744
2020 07 19 06	16.719
2020 07 19 07	16.719
2020 07 19 08	16.785
2020 07 19 09	16.922
2020 07 19 10	17.125
2020 07 19 11	17.35
2020 07 19 12	17.502
2020 07 19 13	17.735
2020 07 19 14	17.994
2020 07 19 15	18.218
2020 07 19 16	18.372
2020 07 19 17	18.461
2020 07 19 18	18.5
2020 07 19 19	18.468
2020 07 19 20	18.39
2020 07 19 21	18.31
2020 07 19 22	18.249
2020 07 19 23	18.219
2020 07 20 00	18.216
2020 07 20 01	18.218
2020 07 20 02	18.217
2020 07 20 03	18.211
2020 07 20 04	18.199
2020 07 20 05	18.183
2020 07 20 06	18.173
2020 07 20 07	18.193
2020 07 20 08	18.272
2020 07 20 09	18.387
2020 07 20 10	18.506
2020 07 20 11	18.613
2020 07 20 12	18.713
2020 07 20 13	18.829
2020 07 20 14	18.973
2020 07 20 15	19.127
2020 07 20 16	19.24
2020 07 20 17	19.275
2020 07 20 18	19.239
2020 07 20 19	19.208
2020 07 20 20	19.156
2020 07 20 21	19.084
2020 07 20 22	19.005
2020 07 20 23	18.917
2020 07 21 00	18.821
2020 07 21 01	18.729
2020 07 21 02	18.662
2020 07 21 03	18.628
2020 07 21 04	18.606
2020 07 21 05	18.582
2020 07 21 06	18.551
2020 07 21 07	18.531
2020 07 21 08	18.544
2020 07 21 09	18.609
2020 07 21 10	18.725
2020 07 21 11	18.884
2020 07 21 12	19.112
2020 07 21 13	19.435
2020 07 21 14	19.823
2020 07 21 15	20.218
2020 07 21 16	20.52
2020 07 21 17	20.626
2020 07 21 18	20.563
2020 07 21 19	20.431
2020 07 21 20	20.231
2020 07 21 21	19.998
2020 07 21 22	19.708
2020 07 21 23	19.397
2020 07 22 00	19.103
2020 07 22 01	18.902
2020 07 22 02	18.818
2020 07 22 03	18.83
2020 07 22 04	18.867
